epoch,loss,val_acc_gauss,val_acc_real
1,0.416490,89.156000,88.085000
2,0.258150,93.229000,92.803000
3,0.234970,91.699000,90.579000
4,0.220300,93.155000,92.812000
5,0.197430,92.910000,92.157000
6,0.167750,91.740000,90.849000
