utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-14 23:23:52	223	3063438	16554	5.19	3.90	326	168
2026-09-14 23:23:52	223	3063558	16549	5.58	4.25	326	168
2026-09-14 23:23:52	223	3063747	16544	5.14	4.00	326	168
2026-09-14 23:23:52	223	3063951	16539	5.52	4.32	326	168
2026-09-14 23:35:23	224	3063438	17245	5.22	3.93	322	168
2026-09-14 23:35:23	224	3063558	17240	5.63	4.30	323	168
2026-09-14 23:35:23	224	3063747	17235	5.12	3.98	324	168
2026-09-14 23:35:23	224	3063951	17230	5.51	4.35	325	168
2026-09-14 23:47:24	225	3063438	17965	5.15	3.86	322	168
2026-09-14 23:47:24	225	3063558	17961	5.63	4.31	323	168
2026-09-14 23:47:24	225	3063747	17956	5.15	4.01	324	168
2026-09-14 23:47:24	225	3063951	17951	5.45	4.28	326	168
2026-09-14 23:58:54	226	3063438	18656	5.24	3.96	324	168
2026-09-14 23:58:55	226	3063558	18652	5.57	4.24	323	168
2026-09-14 23:58:55	226	3063747	18647	5.27	4.12	324	168
2026-09-14 23:58:55	226	3063951	18642	5.43	4.26	325	168
2026-09-15 00:10:25	227	3063438	19347	5.24	3.95	322	168
2026-09-15 00:10:25	227	3063558	19342	5.46	4.14	323	168
2026-09-15 00:10:26	227	3063747	19338	5.26	4.12	324	168
2026-09-15 00:10:26	227	3063951	19333	5.37	4.20	323	168
2026-09-15 00:22:26	228	3063438	20068	5.16	3.89	324	168
2026-09-15 00:22:26	228	3063558	20063	5.37	4.06	322	168
2026-09-15 00:22:26	228	3063747	20058	4.98	3.99	325	168
2026-09-15 00:22:27	228	3063951	20054	5.24	4.17	323	168
2026-09-15 00:33:57	229	3063438	20759	5.14	3.85	323	168
2026-09-15 00:33:57	229	3063558	20754	5.50	4.18	324	168
2026-09-15 00:33:57	229	3063747	20749	5.16	4.03	325	168
2026-09-15 00:33:57	229	3063951	20744	5.33	4.19	323	168
2026-09-15 00:45:28	230	3063438	21450	5.14	3.85	322	168
2026-09-15 00:45:28	230	3063558	21445	5.54	4.22	323	168
2026-09-15 00:45:28	230	3063747	21440	5.21	4.08	325	168
2026-09-15 00:45:28	230	3063951	21435	5.40	4.26	324	168
2026-09-15 00:57:29	231	3063438	22171	5.20	3.90	321	168
2026-09-15 00:57:29	231	3063558	22166	5.54	4.22	323	168
2026-09-15 00:57:29	231	3063747	22161	5.26	4.11	324	168
2026-09-15 00:57:29	231	3063951	22156	5.55	4.42	326	168
2026-09-15 01:09:00	232	3063438	22861	5.26	3.96	323	168
2026-09-15 01:09:00	232	3063558	22857	5.51	4.19	325	168
2026-09-15 01:09:00	232	3063747	22852	5.23	4.05	323	168
2026-09-15 01:09:00	232	3063951	22847	5.83	4.70	330	168
2026-09-15 01:20:00	233	3063438	23522	5.07	3.92	324	168
2026-09-15 01:20:00	233	3063558	23518	5.50	4.22	323	168
2026-09-15 01:20:01	233	3063747	23513	5.12	4.06	322	168
