step,E,var
0,-1.53333333,3.98e+0
1000,-6.51955306,5.87e-2
2000,-6.52757720,3.32e-2
3000,-6.52832705,2.89e-2
4000,-6.53093386,2.44e-2
5000,-6.53224491,2.30e-2
6000,-6.53299481,2.23e-2
7000,-6.53364830,2.19e-2
8000,-6.53412840,2.18e-2
