2026/09/11 06:17:21.141, 0, 37, 2595 MHz, 27.31 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:21.141, 1, 35, 210 MHz, 10.82 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:21.142, 2, 35, 210 MHz, 10.16 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:21.142, 3, 36, 210 MHz, 8.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:23.142, 0, 37, 2595 MHz, 27.03 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:23.142, 1, 35, 210 MHz, 10.90 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:23.142, 2, 35, 210 MHz, 10.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:23.142, 3, 36, 210 MHz, 8.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:25.142, 0, 37, 2595 MHz, 27.09 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:25.142, 1, 35, 210 MHz, 10.95 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:25.142, 2, 35, 210 MHz, 10.29 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:25.142, 3, 36, 210 MHz, 8.12 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:27.143, 0, 37, 2595 MHz, 27.12 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:27.143, 1, 35, 210 MHz, 10.85 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:27.143, 2, 35, 210 MHz, 10.19 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:27.143, 3, 36, 210 MHz, 8.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:29.143, 0, 37, 2595 MHz, 26.83 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:29.143, 1, 35, 210 MHz, 10.91 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:29.143, 2, 35, 210 MHz, 10.21 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:29.143, 3, 36, 210 MHz, 8.08 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:31.144, 0, 37, 2595 MHz, 26.98 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:31.144, 1, 35, 210 MHz, 10.93 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:31.144, 2, 35, 210 MHz, 10.12 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:31.144, 3, 36, 210 MHz, 8.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:33.145, 0, 37, 2595 MHz, 27.27 W, 0 %, 0x0000000000000000, Not Active, Not Active, Not Active
2026/09/11 06:17:33.145, 1, 35, 210 MHz, 10.95 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:33.145, 2, 35, 210 MHz, 10.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:33.145, 3, 36, 210 MHz, 8.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:35.147, 0, 36, 345 MHz, 19.14 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:35.147, 1, 35, 210 MHz, 10.92 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:35.147, 2, 34, 210 MHz, 10.13 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:35.147, 3, 36, 210 MHz, 8.05 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:37.148, 0, 36, 210 MHz, 7.18 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:37.148, 1, 35, 210 MHz, 10.91 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:37.148, 2, 34, 210 MHz, 10.05 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:37.148, 3, 36, 210 MHz, 8.07 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:39.148, 0, 35, 210 MHz, 7.20 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:39.149, 1, 35, 210 MHz, 10.83 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:39.149, 2, 34, 210 MHz, 9.97 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:39.149, 3, 35, 210 MHz, 8.05 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:41.149, 0, 35, 210 MHz, 6.84 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:41.149, 1, 35, 210 MHz, 10.85 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:41.149, 2, 34, 210 MHz, 10.10 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:41.149, 3, 35, 210 MHz, 8.09 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:43.150, 0, 35, 210 MHz, 7.38 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:43.150, 1, 35, 210 MHz, 10.82 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:43.150, 2, 34, 210 MHz, 10.08 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:43.150, 3, 35, 210 MHz, 7.99 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:45.150, 0, 35, 210 MHz, 7.34 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:45.151, 1, 35, 210 MHz, 10.83 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:45.151, 2, 34, 210 MHz, 10.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:45.151, 3, 35, 210 MHz, 7.95 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:47.151, 0, 35, 210 MHz, 7.08 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:47.151, 1, 35, 210 MHz, 10.74 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:47.151, 2, 34, 210 MHz, 10.03 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:47.151, 3, 35, 210 MHz, 7.97 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:49.151, 0, 35, 210 MHz, 7.29 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:49.151, 1, 35, 210 MHz, 10.77 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:49.151, 2, 34, 210 MHz, 9.97 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:49.151, 3, 35, 210 MHz, 8.00 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:51.152, 0, 35, 210 MHz, 7.15 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:51.152, 1, 35, 210 MHz, 10.84 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:51.152, 2, 34, 210 MHz, 9.99 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:51.152, 3, 35, 210 MHz, 7.98 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:53.152, 0, 35, 210 MHz, 6.73 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:53.153, 1, 35, 210 MHz, 10.79 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:53.153, 2, 34, 210 MHz, 10.01 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:53.153, 3, 35, 210 MHz, 8.06 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:55.153, 0, 35, 210 MHz, 7.18 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:55.154, 1, 34, 210 MHz, 10.80 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:55.154, 2, 34, 210 MHz, 9.87 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:55.154, 3, 35, 210 MHz, 8.10 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:57.154, 0, 35, 210 MHz, 7.03 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:57.154, 1, 34, 210 MHz, 10.74 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:57.154, 2, 34, 210 MHz, 9.81 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:57.154, 3, 35, 210 MHz, 8.04 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:59.155, 0, 35, 210 MHz, 6.81 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:59.155, 1, 34, 210 MHz, 10.84 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
2026/09/11 06:17:59.155, 2, 34, 210 MHz, 10.10 W, 0 %, 0x0000000000000001, Not Active, Not Active, Not Active
