201	236	0	0	218
202	236	0	0	218
203	232	0	0	215
204	242	0	0	223
205	234	0	0	217
206	228	0	0	210
207	231	0	0	213
208	232	0	0	214
209	318	86	0	214
210	235	0	1	216
211	238	0	0	219
212	239	0	1	220
213	234	0	0	216
214	244	0	0	226
215	232	0	0	214
216	231	0	0	215
217	517	282	1	216
218	241	0	0	223
219	239	0	0	221
220	239	0	0	220
221	215	0	0	206
222	242	0	0	223
223	242	0	0	223
224	222	0	0	203
225	232	0	0	214
226	236	0	0	217
227	245	0	0	223
228	243	0	0	225
229	236	0	0	218
230	357	132	0	215
231	235	0	1	216
232	238	0	0	221
233	238	0	0	220
234	234	0	0	215
235	227	0	0	209
236	238	0	0	220
237	236	0	0	218
238	676	455	0	212
239	231	0	0	214
240	228	0	0	216
241	229	0	0	211
242	233	0	1	213
243	238	0	0	221
244	252	0	0	233
245	216	0	0	204
246	231	0	0	219
247	234	0	0	216
248	235	0	0	216
249	227	3	0	214
250	312	85	0	208
251	244	0	0	226
252	233	0	0	215
253	239	0	0	221
254	284	68	0	207
255	232	0	0	213
256	235	0	0	217
257	228	0	0	218
258	502	276	0	207
259	235	0	0	217
260	237	0	0	219
261	241	0	0	222
262	242	0	0	223
263	237	0	0	219
264	244	0	0	226
265	241	0	0	222
266	236	0	0	219
267	240	0	0	222
268	235	0	0	217
269	232	0	0	214
270	251	28	0	206
271	237	0	0	219
272	291	61	0	212
273	239	0	0	220
274	287	59	0	210
275	434	205	0	210
276	248	0	0	229
277	239	0	0	222
278	233	0	0	214
279	232	0	0	214
280	319	85	0	216
281	240	0	0	222
282	241	0	0	223
283	235	0	0	217
284	234	0	0	216
285	244	0	0	226
286	235	0	0	217
287	227	0	0	209
288	225	0	0	212
289	242	0	0	222
290	246	3	0	227
291	237	0	0	219
292	289	62	0	209
293	234	0	0	215
294	239	0	1	217
295	240	0	0	221
296	304	84	0	204
297	232	0	0	214
298	238	0	0	219
299	277	53	0	207
300	325	87	0	220
301	235	0	0	217
302	236	0	0	218
303	230	0	0	212
304	267	45	0	204
305	233	0	0	215
306	235	0	0	216
307	252	0	0	234
308	329	98	0	213
309	240	0	0	222
310	230	0	0	212
