procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
169  0    768 65271032 1913204 105030860    0    0     0    74 40123 26354 74 26  0  0  0  0 2026-09-11 05:57:48
158  0    768 65298944 1913204 105030888    0    0     0   106 38075 22641 76 24  0  0  0  0 2026-09-11 05:57:53
162  0    768 65938728 1913212 105030900    0    0     0   154 38651 23947 78 22  0  0  0  0 2026-09-11 05:57:58
131  0    768 65922888 1913212 105030904    0    0     0    61 39132 24535 75 25  0  0  0  0 2026-09-11 05:58:03
110  0    768 65418052 1913220 105030920    0    0     2    16 38121 22242 78 22  0  0  0  0 2026-09-11 05:58:08
163  0    768 64423236 1913220 105031264    0    0     0    84 53366 93653 73 22  6  0  0  0 2026-09-11 05:58:13
67  0    768 61388948 1913244 105031268    0    0     0   234 69950 191455 63 16 21  0  0  0 2026-09-11 05:58:18
66  0    768 57864536 1913252 105031284    0    0     0   104 68947 186983 59 15 26  0  0  0 2026-09-11 05:58:23
66  0    768 57526192 1913260 105031308    0    0     0   110 68658 189158 59 15 26  0  0  0 2026-09-11 05:58:28
65  0    768 56919804 1913268 105031288    0    0     0     5 68667 188842 60 15 25  0  0  0 2026-09-11 05:58:33
 5  0    768 56538236 1913276 105031280    0    0     0    82 66708 183940 59 14 27  0  0  0 2026-09-11 05:58:38
 4  0    768 54575608 1913284 105031292    0    0     0    95 70107 191663 59 15 25  0  0  0 2026-09-11 05:58:43
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
69  0    768 54683840 1913284 105031316    0    0     0    86 67583 186548 59 15 26  0  0  0 2026-09-11 05:58:48
71  0    768 54016388 1913288 105031316    0    0     0   102 69923 190943 60 15 25  0  0  0 2026-09-11 05:58:53
85  0    768 54059708 1913296 105031324    0    0     0    79 64593 168153 62 15 23  0  0  0 2026-09-11 05:58:58
62  0    768 55679440 1913296 105031376    0    0     0     6 36180 24143 58 26 16  0  0  0 2026-09-11 05:59:03
56  0    768 57369768 1913300 105031384    0    0     0    91 34873 20718 70 28  1  0  0  0 2026-09-11 05:59:08
84  0    768 59278076 1913308 105031392    0    0     0    94 38399 25140 72 24  4  0  0  0 2026-09-11 05:59:13
15  0    768 59892704 1913324 105031728    0    0     0   246 36083 23092 63 28 10  0  0  0 2026-09-11 05:59:18
72  0    768 60870832 1913332 105031732    0    0     0   107 36662 23805 61 27 12  0  0  0 2026-09-11 05:59:23
12  0    768 62179352 1913340 105031736    0    0     0    11 37661 26948 52 29 19  0  0  0 2026-09-11 05:59:28
111  0    768 63936844 1913348 105031736    0    0     0    96 36776 22898 75 24  2  0  0  0 2026-09-11 05:59:33
196  0    768 64433876 1913352 105031736    0    0     0    85 38234 24186 77 23  0  0  0  0 2026-09-11 05:59:38
187  0    768 64586928 1913352 105031736    0    0     0    71 38979 26111 79 20  0  0  0  0 2026-09-11 05:59:43
231  0    768 64728404 1913360 105031740    0    0     0     7 39116 24415 80 20  0  0  0  0 2026-09-11 05:59:48
145  0    768 64502976 1913360 105031788    0    0     0    63 37958 23749 79 21  0  0  0  0 2026-09-11 05:59:53
191  0    768 63957288 1913368 105031784    0    0     0    87 39177 24692 80 20  0  0  0  0 2026-09-11 05:59:59
75  0    768 62027944 1913368 105031796    0    0     0    99 56600 122947 72 20  9  0  0  0 2026-09-11 06:00:04
 1  0    768 133341240 1913372 104442940    0    0     0    70 54162 125491 41 15 44  0  0  0 2026-09-11 06:00:09
