procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
120  0    768 65798620 1912268 105019524    0    0     0    83 38846 22365 79 20  0  0  0  0 2026-09-11 05:49:00
91  0    768 65446508 1912272 105019540    0    0     0     6 38073 22397 77 23  0  0  0  0 2026-09-11 05:49:05
 8  0    768 65945968 1912276 105019716    0    0     0    97 41257 34540 71 24  6  0  0  0 2026-09-11 05:49:10
201  0    768 62713104 1912280 105019944    0    0    11   162 49357 180247 66 17 17  0  0  0 2026-09-11 05:49:15
 6  0    768 59269908 1912284 105019944    0    0     0    97 57192 173333 69 17 14  0  0  0 2026-09-11 05:49:20
102  0    768 58817776 1912300 105019944    0    0     0   135 64749 186611 69 18 13  0  0  0 2026-09-11 05:49:25
62  0    768 57096372 1912308 105019948    0    0     0    41 66214 188418 66 17 17  0  0  0 2026-09-11 05:49:30
 6  0    768 56391936 1912316 105019948    0    0     0    84 65801 186836 65 17 18  0  0  0 2026-09-11 05:49:35
64  0    768 55762580 1912320 105019948    0    0     0    91 67788 193509 66 17 17  0  0  0 2026-09-11 05:49:40
74  0    768 57233224 1912324 105019972    0    0     0    65 68459 192441 66 17 17  0  0  0 2026-09-11 05:49:45
67  0    768 55758228 1912324 105020000    0    0     0   106 68491 191919 67 17 17  0  0  0 2026-09-11 05:49:50
99  0    768 56957016 1912324 105020008    0    0     0    17 36796 22491 71 27  3  0  0  0 2026-09-11 05:49:55
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
94  0    768 58786276 1912336 105020000    0    0     0    91 36831 21355 71 28  1  0  0  0 2026-09-11 05:50:00
88  0    768 60668628 1912336 105020024    0    0     0    70 35791 20309 74 25  1  0  0  0 2026-09-11 05:50:05
143  0    768 62187616 1912336 105020024    0    0     0    96 37387 24717 77 22  1  0  0  0 2026-09-11 05:50:10
112  0    768 62478484 1912336 105020032    0    0     0    72 38263 24008 75 25  1  0  0  0 2026-09-11 05:50:15
13  0    768 62231892 1912368 105024276    0    0     0   921 36873 23922 62 27 10  0  0  0 2026-09-11 05:50:20
84  0    768 62602520 1912368 105024276    0    0     0    56 36787 22924 63 28  9  0  0  0 2026-09-11 05:50:25
56  0    768 63620852 1912376 105024100    0    0     0    52 38337 22813 68 29  3  0  0  0 2026-09-11 05:50:30
83  0    768 64454544 1912384 105024100    0    0     0   149 37348 21049 76 24  1  0  0  0 2026-09-11 05:50:35
175  0    768 64315508 1912392 105024100    0    0     0   144 38170 22677 78 22  0  0  0  0 2026-09-11 05:50:40
171  0    768 64589776 1912396 105024204    0    0    18    89 39780 24274 82 18  0  0  0  0 2026-09-11 05:50:45
97  0    768 62242584 1912416 105024236    0    0     0   413 51198 119434 74 18  8  0  0  0 2026-09-11 05:50:50
172  0    768 59301896 1912424 105024248    0    0     0    62 58103 171060 73 19  8  0  0  0 2026-09-11 05:50:55
68  0    768 58453048 1912432 105024248    0    0     0    81 60662 189299 67 18 16  0  0  0 2026-09-11 05:51:00
130  0    768 55388416 1912436 105024256    0    0     0    77 64891 183266 69 18 13  0  0  0 2026-09-11 05:51:05
47  0    768 63192256 1912436 104436772    0    0     0    10 69095 188800 66 17 17  0  0  0 2026-09-11 05:51:10
 0  0    768 142651112 1912436 104311024    0    0     0   284 15630 16070  5  6 89  0  0  0 2026-09-11 05:51:15
