procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
76  0    768 65146532 1911412 104948404    0    0     0    98 39544 24006 79 21  0  0  0  0 2026-09-11 05:40:48
83  0    768 65500596 1911432 104948436    0    0     0   393 39007 23341 75 24  1  0  0  0 2026-09-11 05:40:53
101  0    768 65867460 1911440 104948444    0    0     0   102 39332 24297 77 22  1  0  0  0 2026-09-11 05:40:58
157  0    768 65759576 1911448 104948456    0    0     2    58 39086 24105 79 20  0  0  0  0 2026-09-11 05:41:03
49  0    768 63780372 1911452 104948632    0    0     0   125 53800 113837 69 19 12  0  0  0 2026-09-11 05:41:08
72  0    768 60454108 1911460 104948812    0    0     0    98 74034 192953 64 16 20  0  0  0 2026-09-11 05:41:13
 9  0    768 57605428 1911468 104948820    0    0     0    74 73375 193739 61 15 25  0  0  0 2026-09-11 05:41:18
72  0    768 57444448 1911476 104948868    0    0     9    98 70231 190174 59 14 27  0  0  0 2026-09-11 05:41:23
66  0    768 54839740 1911480 104948868    0    0     0    75 73396 193318 61 15 24  0  0  0 2026-09-11 05:41:28
48  0    768 56112392 1911484 104948872    0    0     0    81 71773 189793 60 14 26  0  0  0 2026-09-11 05:41:33
79  0    768 56864408 1911492 104948872    0    0     0   118 68122 186428 58 14 27  0  0  0 2026-09-11 05:41:38
 4  0    768 55838576 1911500 104948888    0    0     0    18 68071 187944 58 14 27  0  0  0 2026-09-11 05:41:43
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
31  0    768 55128504 1911508 104948920    0    0     0    84 68427 191180 59 14 27  0  0  0 2026-09-11 05:41:48
80  0    768 54014824 1911512 104948896    0    0     0   108 55131 113937 66 19 15  0  0  0 2026-09-11 05:41:53
19  0    768 54854460 1911520 104948896    0    0     0    85 33187 23799 45 23 32  0  0  0 2026-09-11 05:41:59
90  0    768 56636712 1911540 104948976    0    0    12   174 34806 25320 52 28 20  0  0  0 2026-09-11 05:42:04
94  0    768 58822940 1911548 104948980    0    0     0    75 36333 24090 69 29  2  0  0  0 2026-09-11 05:42:09
94  0    768 61078712 1911556 104948980    0    0     0   123 37941 27116 72 27  1  0  0  0 2026-09-11 05:42:14
191  0    768 62174168 1911564 104949312    0    0     0    93 36751 24169 77 22  0  0  0  0 2026-09-11 05:42:19
116  0    768 63192544 1911564 104949316    0    0     0     0 37320 23636 75 25  0  0  0  0 2026-09-11 05:42:24
198  0    768 63988784 1911568 104949320    0    0     0    98 38570 25166 79 21  0  0  0  0 2026-09-11 05:42:29
202  0    768 63723608 1911568 104949320    0    0     0   158 40216 25380 80 20  0  0  0  0 2026-09-11 05:42:34
125  0    768 63340400 1911580 104949316    0    0     0   122 39465 24425 78 22  0  0  0  0 2026-09-11 05:42:39
112  0    768 62954480 1911580 104949332    0    0     0    54 41427 27131 79 20  1  0  0  0 2026-09-11 05:42:44
66  0    768 62744564 1911588 104949364    0    0     0   106 38785 22470 75 22  3  0  0  0 2026-09-11 05:42:50
341  0    768 62978124 1911596 104949376    0    0     0    13 45782 83753 72 21  8  0  0  0 2026-09-11 05:42:55
 9  0    768 58155048 1911600 104949372    0    0     0   106 69180 189831 61 15 24  0  0  0 2026-09-11 05:43:00
68  0    768 57152224 1911604 104949468    0    0    16    89 69058 190736 60 15 26  0  0  0 2026-09-11 05:43:05
 0  0    768 143185336 1911612 104301672    0    0     0   106 21501 29246 10  8 82  0  0  0 2026-09-11 05:43:10
