201	250	0	1	228
202	231	0	0	209
203	249	0	0	232
204	266	0	0	248
205	261	0	0	243
206	275	0	0	258
207	231	0	0	211
208	285	0	1	260
209	277	0	3	223
210	245	0	1	226
211	232	0	0	214
212	250	0	0	225
213	258	0	0	239
214	267	0	0	250
215	267	0	0	249
216	284	0	0	263
217	245	0	0	219
218	233	0	0	207
219	254	0	0	232
220	244	0	0	218
221	296	0	0	278
222	264	0	0	246
223	242	0	1	223
224	281	0	0	256
225	261	0	0	238
226	244	0	0	227
227	253	0	0	235
228	256	0	0	238
229	256	0	0	233
230	265	0	0	223
231	255	0	1	230
232	273	0	0	256
233	238	0	0	213
234	238	0	0	221
235	291	0	0	272
236	242	0	0	223
237	298	0	0	276
238	230	0	0	221
239	247	0	0	220
240	242	0	0	224
241	263	0	0	240
242	270	0	0	249
243	238	0	0	215
244	257	0	0	238
245	267	0	0	230
246	291	0	0	252
247	228	0	0	214
248	242	0	0	223
249	278	0	0	255
250	248	0	1	230
251	239	0	0	221
252	269	0	0	247
253	266	0	0	219
254	258	0	0	236
255	257	0	0	239
256	254	0	1	224
257	260	0	0	238
258	245	0	0	227
259	272	0	0	253
260	256	0	0	213
261	267	0	0	245
262	332	0	5	284
263	216	0	0	201
264	243	0	0	215
265	222	0	0	204
266	286	0	0	269
267	285	0	0	263
268	232	0	0	202
269	276	0	0	258
270	248	0	0	224
271	247	0	0	229
272	282	0	0	265
273	265	0	0	247
274	251	0	0	233
275	243	0	0	226
276	279	0	0	253
277	262	0	0	229
278	245	0	0	225
279	234	0	0	216
280	286	0	0	268
281	278	0	1	260
282	261	0	0	239
283	224	0	0	206
284	270	0	0	244
285	289	0	0	268
286	249	0	0	231
287	252	0	0	212
288	226	0	1	211
289	276	0	0	259
290	269	0	0	243
291	290	0	0	272
292	222	0	0	212
293	228	0	0	210
294	268	0	0	237
295	277	0	1	259
296	253	0	0	223
297	246	0	0	227
298	255	0	0	237
299	271	0	0	240
300	277	0	0	258
301	245	0	0	211
302	239	0	0	218
303	273	0	0	254
304	254	0	0	229
305	244	0	0	223
306	248	0	0	230
307	275	0	0	250
308	273	0	0	241
309	357	0	0	321
310	270	0	0	253
311	223	0	0	211
312	262	0	0	243
313	264	0	0	241
314	254	0	0	234
315	280	0	0	262
316	246	0	0	225
317	231	0	0	213
318	258	0	1	239
319	259	0	0	238
320	270	0	0	248
321	240	0	0	204
322	267	0	0	239
323	261	0	0	241
324	259	0	0	242
325	256	0	0	238
326	6887	0	8	6759
327	4103	0	4	4021
328	1146	0	2	1126
329	1290	0	0	1269
330	3534	0	1	3464
331	4248	0	10	4127
332	1392	0	1	1372
333	2145	558	1	1556
334	12013	6787	8	5128
335	16064	0	5	15811
336	8235	0	4	8073
337	227	0	0	216
338	296	0	0	275
339	288	0	0	243
340	418	0	0	392
341	548	0	1	456
342	380	0	1	337
343	289	0	0	264
344	228	0	0	211
345	245	0	0	224
346	355	0	0	337
347	289	0	0	275
348	281	0	0	243
349	293	0	0	272
350	331	0	0	315
351	216	0	0	205
352	234	0	0	223
353	239	0	0	206
354	297	0	1	259
355	309	0	0	267
356	218	0	0	209
357	275	0	1	245
358	238	0	0	218
359	260	0	0	238
360	247	0	0	228
361	252	0	0	232
362	279	0	0	258
363	261	0	0	244
364	296	0	0	269
365	241	0	0	220
366	257	0	0	239
367	267	0	0	235
368	264	0	0	246
369	259	0	0	240
370	251	0	0	226
371	244	0	0	227
372	280	0	0	261
373	240	0	0	222
374	239	0	0	221
375	259	0	0	243
376	267	0	0	239
377	247	0	0	218
378	246	0	0	227
379	248	0	1	230
380	284	0	0	251
381	231	0	0	208
382	252	0	0	234
383	256	0	0	214
384	280	0	0	262
385	273	0	0	254
386	233	0	0	216
387	254	0	0	237
388	275	0	0	258
389	289	0	0	260
390	238	0	0	221
391	248	0	0	229
392	260	0	0	243
393	274	0	0	254
394	243	0	7	218
395	259	0	1	222
396	268	0	0	249
397	278	0	0	257
398	233	0	0	209
399	255	0	0	234
400	262	0	0	244
401	265	0	0	241
402	248	0	0	213
403	253	0	0	236
