201	262	0	0	245
202	251	0	0	233
203	239	0	0	221
204	233	0	0	214
205	291	0	0	266
206	233	0	0	215
207	249	0	0	230
208	244	0	0	226
209	260	0	0	241
210	262	0	0	245
211	268	0	0	243
212	252	0	0	233
213	262	0	0	242
214	250	0	0	232
215	263	0	0	245
216	268	0	1	251
217	254	0	0	237
218	286	0	0	267
219	222	0	0	212
220	244	0	0	226
221	284	0	0	257
222	277	0	0	243
223	246	0	0	225
224	242	0	0	217
225	267	0	0	248
226	292	0	0	262
227	233	0	0	207
228	228	0	0	210
229	262	0	0	246
230	293	0	0	267
231	243	0	0	225
232	288	0	0	268
233	232	0	0	217
234	235	0	0	219
235	270	0	1	250
236	283	0	0	260
237	245	0	0	223
238	231	0	0	207
239	262	0	0	245
240	292	0	0	273
241	252	0	1	229
242	226	0	0	206
243	257	0	0	228
244	234	0	0	216
245	282	0	0	264
246	252	0	0	234
247	247	0	0	229
248	235	0	0	217
249	295	0	0	277
250	276	0	0	254
251	237	0	0	217
252	255	0	0	239
253	252	0	0	235
254	256	0	0	238
255	243	0	0	226
256	310	0	0	292
257	231	0	0	214
258	265	0	0	237
259	265	0	0	247
260	239	0	0	221
261	260	0	0	241
262	259	0	0	241
263	251	0	0	233
264	253	0	0	235
265	250	0	0	221
266	263	0	1	244
267	243	0	0	221
268	251	0	0	220
269	278	0	0	258
270	306	0	0	267
271	221	0	0	208
272	232	0	0	213
273	272	0	0	248
274	301	0	0	271
275	270	0	0	241
276	251	0	0	218
277	278	0	0	234
278	247	0	1	217
279	229	0	0	210
280	272	0	0	254
281	294	0	1	275
282	252	0	0	228
283	235	0	1	216
284	243	0	0	226
285	257	0	1	239
286	255	0	0	233
287	309	0	0	274
288	229	0	0	217
289	240	0	0	222
290	278	0	0	260
291	249	0	0	231
292	276	0	0	241
293	251	0	0	233
294	248	0	0	219
295	248	0	0	229
296	257	0	0	239
297	292	0	0	272
298	329	0	0	311
299	222	0	0	212
300	264	0	0	244
301	1316	0	0	1269
302	3458	0	3	3439
303	3345	0	12	3243
304	1236	0	4	1205
305	4983	0	26	4936
306	2862	0	28	2710
307	1348	0	5	1318
308	4254	1077	1	3162
309	16050	5302	39	10419
310	20431	0	8	20240
311	2458	0	5	2270
312	895	0	3	876
313	312	0	1	266
314	250	0	0	236
315	252	0	0	238
316	237	0	0	221
317	604	0	0	520
318	418	0	0	364
319	264	0	6	238
320	238	0	0	227
321	598	0	0	490
322	355	0	0	339
323	288	0	0	241
324	271	0	0	253
325	303	0	0	275
326	307	0	0	291
327	246	0	0	233
328	214	0	0	204
329	264	0	0	243
330	260	0	1	228
331	284	0	0	246
332	234	0	0	210
333	256	0	0	232
334	263	0	0	245
335	271	0	0	247
336	257	0	0	231
337	254	0	0	236
338	282	0	0	265
339	273	0	1	251
340	226	0	1	216
341	285	0	0	264
342	257	0	0	238
343	264	0	0	247
344	241	0	0	216
345	261	0	0	242
346	264	0	0	247
347	235	0	0	214
348	270	0	0	252
349	351	0	0	318
350	221	0	0	211
351	241	0	0	224
352	240	0	0	222
353	265	0	0	240
354	285	0	1	266
355	254	0	0	227
356	235	0	0	216
357	312	0	0	284
358	233	0	0	211
359	271	0	0	244
360	260	0	0	240
361	285	0	0	254
362	243	0	0	222
363	251	0	0	223
364	240	0	0	221
365	270	0	1	252
366	279	0	0	252
367	264	0	0	245
368	289	0	1	268
369	256	0	0	238
370	256	0	0	238
371	246	0	0	228
372	261	0	0	238
373	291	0	1	269
374	233	0	0	215
375	235	0	0	213
376	253	0	0	230
377	281	0	0	264
378	250	0	0	231
379	243	0	1	225
380	247	0	0	226
381	279	0	0	259
382	255	0	0	237
383	261	0	1	240
384	220	0	0	209
385	337	0	0	313
386	232	0	0	212
387	224	0	0	214
388	251	0	0	233
389	281	0	0	263
390	303	0	0	284
391	303	0	0	286
392	218	0	0	208
393	290	0	0	274
394	232	0	0	211
395	311	0	0	281
396	312	0	0	281
397	215	0	0	206
398	247	0	0	227
399	271	0	0	253
400	266	0	0	248
401	271	0	0	238
402	277	0	0	256
403	225	0	0	215
404	242	0	0	224
405	277	0	0	259
406	270	0	0	237
