procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
143  0    768 59625376 1914636 105053724    0    0     0   122 66711 183543 57 18 25  0  0  0 2026-09-11 06:13:00
45  0    768 58434272 1914644 105053788    0    0     0    97 63230 171330 59 17 24  0  0  0 2026-09-11 06:13:05
22  0    768 56970996 1914652 105053996    0    0     0    41 73864 196293 57 19 24  0  0  0 2026-09-11 06:13:10
57  0    768 57525000 1914672 105054188    0    0     0   282 70347 187767 59 16 25  0  0  0 2026-09-11 06:13:15
134  0    768 56766368 1914676 105054200    0    0     0   101 72487 190484 57 17 26  0  0  0 2026-09-11 06:13:20
75  0    768 55274224 1914684 105054200    0    0     0    69 73999 186173 58 16 26  0  0  0 2026-09-11 06:13:25
101  0    768 57253680 1914688 105054200    0    0     0   104 44219 56245 72 20  8  0  0  0 2026-09-11 06:13:30
172  0    768 59195896 1914692 105054200    0    0     0     5 35545 20759 77 19  4  0  0  0 2026-09-11 06:13:35
137  0    768 60633448 1914700 105054196    0    0     0    72 36077 21794 75 20  5  0  0  0 2026-09-11 06:13:41
155  0    768 61931076 1914700 105054208    0    0     0    55 36583 23554 75 19  6  0  0  0 2026-09-11 06:13:46
77  0    768 62418132 1914708 105054240    0    0     0   102 37306 22795 68 23  8  0  0  0 2026-09-11 06:13:51
51  0    768 62581080 1914712 105054248    0    0     0    94 35513 22825 46 24 30  0  0  0 2026-09-11 06:13:56
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
65  0    768 63312836 1914720 105054248    0    0     0    90 38128 22958 67 26  8  0  0  0 2026-09-11 06:14:01
78  0    768 64100672 1914724 105054340    0    0    17     9 36380 23716 51 23 26  0  0  0 2026-09-11 06:14:06
87  0    768 65398540 1914732 105054344    0    0     0    96 39141 24480 69 23  7  0  0  0 2026-09-11 06:14:11
111  0    768 65400104 1914736 105054524    0    0     0    86 39048 24729 70 24  6  0  0  0 2026-09-11 06:14:16
66  0    768 64684036 1914744 105054692    0    0     0   135 38704 24233 69 24  7  0  0  0 2026-09-11 06:14:21
11  0    768 64001468 1914772 105054696    0    0     0   188 36671 25029 44 25 32  0  0  0 2026-09-11 06:14:26
52  0    768 63363392 1914780 105054696    0    0     0     7 52618 115288 50 18 32  0  0  0 2026-09-11 06:14:31
93  0    768 58569296 1914788 105054708    0    0     0    80 73347 192282 58 17 25  0  0  0 2026-09-11 06:14:36
94  0    768 56467368 1914792 105054744    0    0     0   114 69214 186299 58 17 26  0  0  0 2026-09-11 06:14:41
75  0    768 55598260 1915292 105298632    0    0 24191  1723 74607 192126 59 18 23  0  0  0 2026-09-11 06:14:46
84  0    768 55836196 1918908 105298192    0    0   853 32341 66623 177721 62 19 19  0  0  0 2026-09-11 06:14:51
167  0    768 54080592 1918916 105298264    0    0     0   290 71608 189063 58 17 25  0  0  0 2026-09-11 06:14:56
58  0    768 54908544 1918924 105298252    0    0     0    14 70512 182127 59 16 26  0  0  0 2026-09-11 06:15:01
129  0    768 54332588 1918924 105298264    0    0     0   110 67099 190553 55 16 29  0  0  0 2026-09-11 06:15:06
52  0    768 63044884 1918932 104710892    0    0    12   105 70795 181447 57 15 27  0  0  0 2026-09-11 06:15:11
 1  0    768 139457844 1918940 104709440    0    0     0   254 17754 15616  8 11 80  0  0  0 2026-09-11 06:15:16
