procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
150  0    768 65501832 1948828 105927604    0    0     0    84 38554 24608 80 20  0  0  0  0 2026-09-11 06:48:06
118  0    768 64989992 1948828 105927616    0    0     2     4 40743 26467 78 21  0  0  0  0 2026-09-11 06:48:11
15  0    768 61381196 1948864 105927928    0    0     0   264 72371 185102 68 18 14  0  0  0 2026-09-11 06:48:16
 8  0    768 58494040 1948872 105927928    0    0     0    74 73188 188241 59 15 26  0  0  0 2026-09-11 06:48:21
72  0    768 58019860 1948880 105927932    0    0     0    86 72822 190490 60 15 25  0  0  0 2026-09-11 06:48:26
30  0    768 56393076 1948888 105927936    0    0     0    91 74000 190291 60 15 26  0  0  0 2026-09-11 06:48:31
 5  0    768 55544968 1948896 105927928    0    0     0    82 72211 183686 59 15 26  0  0  0 2026-09-11 06:48:36
49  0    768 55381432 1948900 105927936    0    0     0    77 73422 190952 59 15 26  0  0  0 2026-09-11 06:48:41
71  0    768 54384116 1948908 105927988    0    0     0    12 71852 190378 59 15 26  0  0  0 2026-09-11 06:48:46
35  0    768 55206688 1948916 105928068    0    0     9    97 72193 188089 59 15 27  0  0  0 2026-09-11 06:48:51
61  0    768 55255664 1948920 105928060    0    0     0   100 72572 190321 59 15 26  0  0  0 2026-09-11 06:48:56
97  0    768 54661240 1948924 105928028    0    0     0   102 60326 132660 66 17 17  0  0  0 2026-09-11 06:49:01
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
105  0    768 56257392 1948932 105928036    0    0     0    83 35198 22343 65 26  9  0  0  0 2026-09-11 06:49:06
78  0    768 57510292 1948940 105928044    0    0     0    14 36823 23600 73 26  2  0  0  0 2026-09-11 06:49:11
68  0    768 58821720 1948948 105928344    0    0     0   142 35052 21588 55 26 19  0  0  0 2026-09-11 06:49:16
78  0    768 59484704 1948948 105928356    0    0     0    70 36619 21864 72 27  1  0  0  0 2026-09-11 06:49:21
57  0    768 61144756 1948988 105928448    0    0    18   190 35798 27447 38 26 35  0  0  0 2026-09-11 06:49:27
84  0    768 62184736 1948992 105928448    0    0     0    77 37542 22994 72 27  1  0  0  0 2026-09-11 06:49:32
149  0    768 62566684 1948996 105928448    0    0     0    88 37477 22980 74 25  0  0  0  0 2026-09-11 06:49:37
170  0    768 62813336 1948996 105928452    0    0     0     0 38251 23686 79 21  0  0  0  0 2026-09-11 06:49:42
178  0    768 62666736 1949004 105928492    0    0     6    91 38919 25471 79 21  0  0  0  0 2026-09-11 06:49:47
169  0    768 62818672 1949012 105928524    0    0    22    76 38628 23960 80 20  0  0  0  0 2026-09-11 06:49:52
68  0    768 63091360 1949020 105928960    0    0    63    82 37969 21812 77 22  1  0  0  0 2026-09-11 06:49:57
79  0    768 62593136 1949028 105928952    0    0     0   156 39008 23844 78 21  1  0  0  0 2026-09-11 06:50:02
76  0    768 63298156 1949032 105928960    0    0     0    65 39632 29596 68 25  8  0  0  0 2026-09-11 06:50:07
73  0    768 59537584 1949032 105929060    0    0     0    94 68935 199094 66 17 17  0  0  0 2026-09-11 06:50:12
19  0    768 56783512 1949036 105929132    0    0     0     8 71719 190112 60 15 25  0  0  0 2026-09-11 06:50:17
50  0    768 55643744 1949044 105929132    0    0     0   109 68900 186205 59 15 26  0  0  0 2026-09-11 06:50:22
68  0    768 64487728 1949052 105406980    0    0     0    97 70496 190183 59 15 26  0  0  0 2026-09-11 06:50:27
 0  0    768 142636988 1949076 105280892    0    0     0   341 15824 15828  5  6 89  0  0  0 2026-09-11 06:50:32
