net	variant	prec	arm	bs	workers	med_ms	min_ms	p90_ms	mean_ms	wait_ms	steps_ep	elapsed_s	note
cnx	adamdpwxclipdropbf16	bf16	fed	64	4	220	203	233	219	17	5004	223	
cnx	adamdpwxclipdropbf16	bf16	synth	64	4	205	202	207	205	3	5004	154	
