epoch,loss,val_acc,pd_fold0_test_acc
1,6.584560,93.381000,29.490000
2,4.621570,89.478000,35.917000
3,3.267080,85.959000,39.130000
4,2.859270,84.081000,40.265000
5,2.665440,83.899000,40.265000
