epoch,loss,val_acc,pd_fold4_test_acc
1,6.647040,92.505000,27.327000
2,4.572940,87.655000,34.851000
3,3.283970,84.974000,38.614000
4,2.837360,83.625000,41.188000
5,2.629940,83.023000,40.990000
