epoch,loss,val_acc,pd_fold3_test_acc
1,7.126400,94.384000,22.353000
2,6.569980,94.530000,23.333000
3,6.410860,94.493000,24.118000
4,5.943190,94.420000,24.510000
5,5.659700,94.347000,23.725000
