epoch,loss,val_acc,pd_fold4_test_acc
1,7.293350,91.156000,23.366000
2,6.473780,91.740000,23.960000
3,5.630720,91.813000,24.950000
4,5.702090,92.232000,24.158000
5,5.154220,92.396000,24.950000
