epoch,loss,val_acc,pd_fold0_test_acc
1,7.579740,91.813000,23.629000
2,7.167230,92.104000,24.764000
3,6.479870,92.268000,25.331000
4,6.335590,92.141000,24.575000
5,6.194550,92.250000,24.008000
