epoch,loss,val_acc,pd_fold2_test_acc
1,6.722830,93.271000,26.070000
2,4.534990,90.536000,35.019000
3,3.322210,87.892000,37.354000
4,2.795520,84.974000,39.883000
5,2.659650,85.941000,39.494000
