epoch,loss,val_acc,pd_fold3_test_acc
1,6.696180,93.837000,26.471000
2,4.721440,87.309000,37.059000
3,3.410750,84.190000,41.765000
4,2.927690,82.403000,42.157000
5,2.700970,82.877000,42.353000
