epoch,loss,val_acc,pd_fold2_test_acc
1,7.522810,93.709000,21.401000
2,6.863180,94.457000,22.568000
3,6.809240,94.949000,23.735000
4,6.350060,95.022000,23.541000
5,6.085780,94.985000,23.541000
