epoch,loss,val_acc,pd_fold1_test_acc
1,7.125850,91.174000,18.654000
2,6.612640,91.794000,20.769000
3,5.525660,91.849000,21.346000
4,5.432400,92.141000,22.308000
5,5.659140,92.268000,22.308000
