epoch	lr	train_loss	top1_n	top1	top5	val_loss	train_s	val_s
84	0.000219	3.651	39058	0.7812	0.941	0.9477	899.0	17.6
85	0.000218	3.6373	39080	0.7816	0.941	0.9448	898.7	17.6
86	0.000217	3.6285	39134	0.7827	0.9415	0.9415	899.3	17.6
87	0.000216	3.6225	39198	0.784	0.9414	0.9383	899.2	17.8
88	0.000215	3.6299	39167	0.7833	0.9423	0.9371	899.3	17.6
89	0.000214	3.6201	39154	0.7831	0.9426	0.9362	898.9	17.7
90	0.000213	3.6069	39179	0.7836	0.9428	0.9352	899.0	17.6
91	0.000212	3.6041	39217	0.7843	0.9429	0.9334	898.7	17.6
92	0.000211	3.6065	39214	0.7843	0.9429	0.9318	899.3	17.6
93	0.00021	3.6015	39291	0.7858	0.9435	0.9308	899.1	17.8
94	0.000209	3.6003	39285	0.7857	0.943	0.9296	898.6	17.6
95	0.000208	3.6006	39308	0.7862	0.9431	0.9282	898.8	17.6
96	0.000207	3.6048	39277	0.7855	0.9436	0.9267	898.6	17.6
97	0.000206	3.5956	39286	0.7857	0.9436	0.9229	899.0	17.7
98	0.000205	3.5821	39335	0.7867	0.9438	0.9209	899.1	17.9
99	0.000204	3.5776	39369	0.7874	0.9438	0.9201	899.3	17.6
100	0.000203	3.5772	39395	0.7879	0.9442	0.9189	898.9	17.7
101	0.000202	3.573	39392	0.7878	0.9444	0.9181	900.8	17.6
102	0.000201	3.5764	39391	0.7878	0.944	0.9173	900.4	17.7
103	0.0002	3.5705	39410	0.7882	0.9439	0.9151	899.7	17.6
104	0.000198	3.5829	39439	0.7888	0.944	0.914	899.3	17.9
105	0.000197	3.565	39410	0.7882	0.9443	0.9134	900.4	17.6
106	0.000196	3.5613	39459	0.7892	0.9447	0.9121	899.1	17.7
107	0.000195	3.5691	39500	0.79	0.9444	0.9106	899.2	17.6
108	0.000194	3.5493	39572	0.7914	0.9451	0.9085	900.2	17.7
109	0.000193	3.5452	39581	0.7916	0.9444	0.9084	900.3	17.6
110	0.000192	3.5479	39552	0.791	0.945	0.9074	900.2	17.8
111	0.00019	3.5438	39568	0.7914	0.9452	0.906	900.3	17.6
112	0.000189	3.5459	39615	0.7923	0.9456	0.9048	900.2	17.6
113	0.000188	3.5222	39606	0.7921	0.946	0.9037	899.3	17.7
114	0.000187	3.5312	39603	0.7921	0.9459	0.9021	900.4	17.6
115	0.000185	3.5132	39590	0.7918	0.9462	0.9009	899.2	17.9
116	0.000184	3.5177	39618	0.7924	0.9463	0.8996	899.2	17.6
117	0.000183	3.5288	39656	0.7931	0.9465	0.9	899.3	17.7
118	0.000182	3.5163	39621	0.7924	0.9461	0.9002	899.3	17.6
119	0.00018	3.5143	39597	0.7919	0.9468	0.8983	899.2	17.6
120	0.000179	3.521	39623	0.7925	0.9467	0.8983	899.4	17.6
121	0.000178	3.505	39636	0.7927	0.9465	0.8974	899.4	17.9
122	0.000177	3.4946	39682	0.7936	0.9472	0.8951	899.3	17.6
123	0.000175	3.505	39670	0.7934	0.9475	0.8933	900.4	17.6
124	0.000174	3.5063	39724	0.7945	0.9479	0.8926	899.4	17.6
125	0.000173	3.4937	39739	0.7948	0.9478	0.8912	900.5	17.7
126	0.000172	3.5001	39738	0.7948	0.9473	0.8903	899.4	17.7
127	0.00017	3.482	39722	0.7944	0.9479	0.8894	899.3	17.6
128	0.000169	3.4768	39773	0.7955	0.9481	0.8866	900.3	17.6
129	0.000168	3.4967	39807	0.7961	0.9486	0.8854	899.4	17.6
130	0.000166	3.4864	39795	0.7959	0.9484	0.8841	900.2	17.7
131	0.000165	3.4689	39806	0.7961	0.9485	0.8828	899.6	17.6
132	0.000164	3.4624	39832	0.7966	0.9482	0.8828	899.3	17.9
