step,E,var
0,-4.80000000,1.20e+1
100,-12.47634184,3.70e-2
200,-12.48133655,1.53e-2
300,-12.48210401,1.17e-2
400,-12.48228655,1.08e-2
500,-12.48236775,1.04e-2
600,-12.48238797,1.03e-2
700,-12.48239729,1.03e-2
800,-12.48240747,1.02e-2
900,-12.48241676,1.02e-2
1000,-12.48242644,1.02e-2
1100,-12.48243461,1.01e-2
1200,-12.48244200,1.01e-2
1300,-12.48245045,1.01e-2
1400,-12.48245831,1.01e-2
1500,-12.48246864,1.00e-2
1600,-12.48247979,10.00e-3
1700,-12.48249891,9.89e-3
1800,-12.48252189,9.71e-3
1900,-12.48255829,9.66e-3
2000,-12.48328332,8.16e-3
2100,-12.48450689,2.03e-3
2200,-12.48453484,1.87e-3
2300,-12.48454203,1.83e-3
2400,-12.48454540,1.82e-3
2500,-12.48454716,1.80e-3
2600,-12.48454839,1.80e-3
2700,-12.48454901,1.79e-3
2800,-12.48454950,1.79e-3
2900,-12.48455025,1.79e-3
3000,-12.48455067,1.78e-3
3100,-12.48455111,1.78e-3
3200,-12.48455137,1.78e-3
3300,-12.48455166,1.78e-3
3400,-12.48455190,1.77e-3
3500,-12.48455196,1.77e-3
3600,-12.48455209,1.77e-3
3700,-12.48455214,1.77e-3
3800,-12.48455214,1.77e-3
3900,-12.48455241,1.77e-3
4000,-12.48455216,1.77e-3
