step,E,var
0,-2.40000000,1.20e+1
100,-8.74821576,8.10e-2
200,-12.07586810,1.80e-1
300,-12.11910473,8.21e-3
400,-12.11930066,7.06e-3
500,-12.11943564,6.22e-3
600,-12.11954731,5.48e-3
700,-12.11964323,4.86e-3
800,-12.11972905,4.29e-3
900,-12.11980350,3.73e-3
1000,-12.11987093,3.28e-3
1100,-12.11992724,2.88e-3
1200,-12.11997428,2.53e-3
1300,-12.12001595,2.21e-3
1400,-12.12005059,1.95e-3
1500,-12.12007880,1.74e-3
1600,-12.12010244,1.56e-3
1700,-12.12012290,1.40e-3
1800,-12.12014045,1.27e-3
1900,-12.12015601,1.15e-3
2000,-12.12016946,1.04e-3
2100,-12.12018159,9.51e-4
2200,-12.12019208,8.69e-4
2300,-12.12020170,7.96e-4
2400,-12.12020962,7.34e-4
2500,-12.12021636,6.81e-4
2600,-12.12022206,6.38e-4
2700,-12.12022702,5.98e-4
2800,-12.12023125,5.67e-4
2900,-12.12023477,5.38e-4
3000,-12.12023780,5.16e-4
3100,-12.12024062,4.94e-4
3200,-12.12024289,4.76e-4
3300,-12.12024477,4.61e-4
3400,-12.12024641,4.49e-4
3500,-12.12024792,4.37e-4
3600,-12.12024917,4.28e-4
3700,-12.12025025,4.19e-4
3800,-12.12025122,4.12e-4
3900,-12.12025208,4.05e-4
4000,-12.12025312,3.97e-4
