step,E,var
0,-2.40000000,1.20e+1
100,-11.92233056,1.45e+0
200,-12.04958146,4.00e-1
300,-12.10798970,1.31e-1
400,-12.11317386,7.42e-2
500,-12.11541892,5.01e-2
600,-12.11661253,3.71e-2
700,-12.11735684,2.91e-2
800,-12.11781658,2.39e-2
900,-12.11820204,2.00e-2
1000,-12.11848228,1.73e-2
1100,-12.11872343,1.49e-2
1200,-12.11890500,1.32e-2
1300,-12.11903576,1.19e-2
1400,-12.11917149,1.07e-2
1500,-12.11928143,9.67e-3
1600,-12.11937420,8.82e-3
1700,-12.11943029,8.19e-3
1800,-12.11950468,7.61e-3
1900,-12.11962896,6.79e-3
2000,-12.11966377,6.36e-3
2100,-12.11971862,5.95e-3
2200,-12.11974914,5.63e-3
2300,-12.11977486,5.37e-3
2400,-12.11979059,5.16e-3
2500,-12.11981271,4.97e-3
2600,-12.11983257,4.76e-3
2700,-12.11984670,4.61e-3
2800,-12.11986150,4.48e-3
2900,-12.11987281,4.35e-3
3000,-12.11988119,4.26e-3
3100,-12.11989107,4.16e-3
3200,-12.11989996,4.09e-3
3300,-12.11990646,4.02e-3
3400,-12.11991259,3.96e-3
3500,-12.11991779,3.91e-3
3600,-12.11992125,3.87e-3
3700,-12.11992468,3.83e-3
3800,-12.11992795,3.80e-3
3900,-12.11993118,3.77e-3
4000,-12.11993453,3.73e-3
