epoch,loss,val_acc_gauss,val_acc_real
1,0.453870,91.119000,90.751000
2,0.275270,92.411000,91.871000
3,0.246740,80.986000,79.310000
4,0.224010,92.910000,92.116000
5,0.189910,92.583000,91.593000
6,0.151420,91.560000,90.595000
