epoch,loss,val_acc,test_acc
1,1.609350,67.134000,51.418000
2,0.305880,83.198000,65.431000
3,0.179170,79.967000,63.540000
4,0.122370,88.072000,69.212000
5,0.105660,86.946000,69.898000
6,0.080470,87.482000,73.216000
7,0.069150,85.210000,70.158000
8,0.065500,85.838000,70.973000
9,0.046390,89.346000,70.287000
10,0.047680,87.685000,71.251000
11,0.031240,89.236000,72.011000
12,0.028540,88.922000,75.440000
13,0.022580,90.288000,73.642000
14,0.022080,90.048000,72.827000
15,0.016790,90.122000,74.069000
16,0.011560,90.066000,75.811000
17,0.010980,91.156000,73.123000
18,0.008740,92.541000,76.256000
19,0.007130,91.156000,75.700000
20,0.005320,91.322000,76.719000
21,0.004050,91.285000,75.848000
22,0.003440,92.097000,76.126000
23,0.003080,91.913000,76.441000
24,0.003250,92.559000,76.627000
25,0.002720,92.633000,76.979000
26,0.002390,92.688000,77.183000
27,0.002440,92.651000,77.275000
28,0.002140,92.651000,77.312000
29,0.002100,92.578000,77.034000
30,0.002020,92.688000,77.312000
