epoch,loss,val_acc,test_acc
1,1.615140,73.209000,57.164000
2,0.298860,78.471000,62.113000
3,0.170630,84.380000,66.710000
4,0.118150,86.078000,68.693000
5,0.103450,83.881000,68.601000
6,0.080950,84.213000,67.229000
7,0.065830,84.897000,65.153000
8,0.065550,87.851000,70.788000
9,0.048430,88.312000,70.250000
10,0.039700,86.965000,73.420000
11,0.033660,87.851000,71.863000
12,0.033910,88.922000,73.772000
13,0.022270,91.100000,75.125000
14,0.018810,91.507000,73.976000
15,0.016580,90.417000,74.328000
16,0.012620,90.510000,75.385000
17,0.010370,92.725000,78.684000
18,0.009100,91.673000,76.627000
19,0.006280,89.790000,76.497000
20,0.005670,92.042000,76.386000
21,0.003600,91.728000,76.237000
22,0.004110,92.411000,78.165000
23,0.002860,92.079000,77.665000
24,0.002780,92.042000,77.794000
25,0.002860,92.744000,77.850000
26,0.002530,92.984000,77.850000
27,0.002290,92.873000,78.276000
28,0.002190,92.725000,78.480000
29,0.002160,92.910000,78.424000
30,0.002020,92.818000,78.517000
