epoch,loss,val_acc_gauss,val_acc_real
1,0.419320,80.021000,78.517000
2,0.294560,82.033000,79.841000
3,0.267860,65.007000,64.009000
4,0.247530,92.517000,92.157000
5,0.211130,92.035000,91.658000
6,0.171380,91.560000,90.955000
