epoch,train_loss,lr,top1,top5
145,2.361758,0.002660,69.710000,89.290000
146,2.357099,0.002607,69.642000,89.306000
147,2.362054,0.002555,69.996000,89.316000
148,2.358282,0.002503,70.064000,89.432000
149,2.351075,0.002453,69.942000,89.224000
150,2.351115,0.002404,69.968000,89.434000
151,2.348317,0.002356,69.838000,89.418000
152,2.343240,0.002309,69.484000,89.098000
153,2.343460,0.002263,69.766000,89.168000
154,2.342334,0.002218,70.312000,89.516000
155,2.340657,0.002173,70.370000,89.542000
156,2.338473,0.002130,70.094000,89.444000
157,2.335123,0.002087,70.174000,89.350000
158,2.335235,0.002046,70.160000,89.500000
159,2.335318,0.002005,70.430000,89.592000
160,2.333344,0.001965,70.442000,89.654000
161,2.329806,0.001925,70.504000,89.648000
162,2.327570,0.001887,70.152000,89.492000
163,2.323888,0.001849,70.146000,89.486000
164,2.322279,0.001812,70.448000,89.536000
165,2.325466,0.001776,69.826000,89.412000
166,2.324931,0.001740,70.104000,89.454000
167,2.322744,0.001705,70.430000,89.692000
168,2.315753,0.001671,70.266000,89.542000
169,2.315222,0.001638,70.524000,89.708000
170,2.318691,0.001605,70.402000,89.652000
171,2.315942,0.001573,70.542000,89.724000
172,2.308711,0.001542,70.534000,89.818000
173,2.308617,0.001511,70.526000,89.602000
174,2.310753,0.001481,70.492000,89.746000
175,2.306868,0.001451,70.824000,89.834000
176,2.308086,0.001422,70.570000,89.828000
177,2.306970,0.001393,70.672000,89.702000
178,2.305710,0.001366,70.556000,89.828000
179,2.298446,0.001338,70.654000,89.906000
180,2.296600,0.001312,70.476000,89.908000
181,2.297288,0.001285,70.678000,89.890000
182,2.297860,0.001260,70.762000,89.878000
183,2.298725,0.001234,70.794000,89.788000
184,2.292527,0.001210,70.914000,89.888000
185,2.294145,0.001186,70.860000,89.798000
186,2.294153,0.001162,70.914000,90.024000
187,2.288031,0.001139,70.976000,89.888000
188,2.288491,0.001116,70.936000,89.916000
189,2.285850,0.001093,71.092000,89.886000
190,2.285215,0.001072,70.800000,89.818000
191,2.285631,0.001050,71.054000,90.046000
192,2.284273,0.001029,70.816000,89.852000
193,2.281434,0.001009,71.160000,89.988000
194,2.275688,0.000988,71.300000,90.066000
195,2.282695,0.000969,71.100000,89.906000
196,2.273577,0.000949,71.054000,90.006000
197,2.277045,0.000930,71.024000,90.008000
198,2.275178,0.000912,70.992000,90.148000
199,2.270774,0.000893,71.126000,90.038000
200,2.280321,0.000876,70.946000,89.968000
201,2.274060,0.000858,71.076000,89.996000
202,2.269912,0.000841,71.166000,90.156000
203,2.270488,0.000824,71.066000,90.036000
204,2.267627,0.000808,71.130000,90.088000
205,2.262605,0.000791,71.178000,90.026000
206,2.268823,0.000776,71.266000,90.006000
207,2.266865,0.000760,71.170000,90.012000
208,2.262200,0.000745,71.290000,90.048000
209,2.267063,0.000730,71.228000,90.064000
210,2.269307,0.000715,71.328000,90.186000
211,2.258967,0.000701,71.318000,90.042000
212,2.264967,0.000687,71.200000,90.100000
213,2.262313,0.000673,71.460000,90.160000
214,2.260956,0.000660,71.554000,90.206000
215,2.257960,0.000647,71.180000,90.056000
216,2.263291,0.000634,71.284000,90.074000
217,2.255568,0.000621,71.410000,90.104000
218,2.260189,0.000609,71.558000,90.132000
219,2.259998,0.000596,71.494000,90.118000
220,2.257147,0.000585,71.430000,90.078000
221,2.254649,0.000573,71.492000,90.138000
222,2.256865,0.000561,71.516000,90.244000
223,2.255259,0.000550,71.432000,90.114000
224,2.251593,0.000539,71.452000,90.114000
225,2.252865,0.000528,71.420000,90.182000
226,2.247252,0.000518,71.252000,90.054000
227,2.255096,0.000507,71.506000,90.114000
228,2.245197,0.000497,71.606000,90.268000
229,2.247473,0.000487,71.356000,90.144000
230,2.238810,0.000478,71.384000,90.198000
231,2.250569,0.000468,71.518000,90.232000
232,2.248588,0.000459,71.562000,90.210000
233,2.243670,0.000450,71.568000,90.262000
234,2.244055,0.000441,71.528000,90.174000
235,2.241997,0.000432,71.520000,90.248000
236,2.238935,0.000423,71.520000,90.218000
237,2.241443,0.000415,71.606000,90.270000
238,2.244057,0.000406,71.654000,90.172000
239,2.241009,0.000398,71.604000,90.264000
240,2.238558,0.000390,71.672000,90.300000
241,2.235372,0.000382,71.514000,90.202000
242,2.234490,0.000375,71.560000,90.252000
243,2.230978,0.000367,71.534000,90.218000
244,2.236815,0.000360,71.592000,90.240000
245,2.234529,0.000353,71.626000,90.302000
246,2.233604,0.000346,71.628000,90.310000
247,2.235305,0.000339,71.690000,90.254000
248,2.235429,0.000332,71.602000,90.282000
249,2.232278,0.000325,71.732000,90.242000
250,2.231296,0.000319,71.698000,90.312000
251,2.229918,0.000312,71.658000,90.282000
252,2.225842,0.000306,71.632000,90.290000
253,2.234025,0.000300,71.684000,90.362000
254,2.225705,0.000294,71.590000,90.306000
255,2.227647,0.000288,71.668000,90.316000
256,2.233670,0.000282,71.610000,90.342000
257,2.226035,0.000277,71.686000,90.324000
258,2.230065,0.000271,71.748000,90.376000
259,2.229800,0.000266,71.692000,90.318000
260,2.229061,0.000261,71.672000,90.368000
261,2.229107,0.000255,71.784000,90.430000
262,2.228153,0.000250,71.716000,90.352000
263,2.225206,0.000245,71.730000,90.370000
264,2.226097,0.000240,71.722000,90.336000
265,2.226311,0.000236,71.690000,90.284000
266,2.226258,0.000231,71.844000,90.402000
267,2.222450,0.000226,71.796000,90.434000
268,2.223545,0.000222,71.878000,90.372000
269,2.226002,0.000217,71.730000,90.472000
270,2.226890,0.000213,71.752000,90.364000
271,2.223971,0.000209,71.870000,90.358000
272,2.225557,0.000204,71.858000,90.434000
273,2.221807,0.000200,71.784000,90.456000
274,2.222761,0.000196,71.808000,90.408000
275,2.223301,0.000192,71.750000,90.408000
276,2.225885,0.000189,71.802000,90.428000
277,2.222873,0.000185,71.832000,90.374000
278,2.217997,0.000181,71.742000,90.404000
279,2.216438,0.000177,71.762000,90.380000
