epoch,loss,val_acc_gauss,val_acc_real
1,0.559630,90.726000,90.236000
2,0.416310,92.288000,92.043000
3,0.386280,90.473000,89.761000
4,0.360980,92.812000,92.517000
5,0.331170,92.517000,92.264000
6,0.298540,91.732000,91.675000
