d	acc	floats	ms_per_ep
8	96.163862	59914	6605
16	98.297276	110378	7096
32	98.417468	211690	7424
64	98.858173	415850	8629
128	98.597756	830314	9739
256	98.868189	1683818	12165
512	98.948317	3489130	17811
1024	99.038462	7492970	25015
2048	99.038462	17073514	41697
4096	98.958333	42526058	84182
