d	acc	floats	ms_per_ep
8	66.776843	NA	NA
16	71.103766	NA	NA
32	71.704728	NA	NA
64	71.073718	NA	NA
128	71.434295	NA	NA
256	71.494391	NA	NA
512	71.554487	NA	NA
1024	72.165465	NA	NA
2048	71.604567	NA	NA
4096	71.734776	NA	NA
