d	acc	floats
8	98.170000	59914
16	98.470000	110378
32	98.420000	211690
64	98.330000	415850
128	98.730000	830314
256	98.620000	1683818
512	97.940000	3489130
1024	98.720000	7492970
2048	98.700000	17073514
4096	98.750000	42526058
