d	acc	floats
8	98.190000	59914
16	98.490000	110378
32	98.740000	211690
64	98.320000	415850
128	98.600000	830314
256	98.740000	1683818
512	98.580000	3489130
1024	98.760000	7492970
2048	98.790000	17073514
4096	98.790000	42526058
