sigma,img_idx,delta,dg,bound,ratio
0.120000,4000,0.750000,0.000000,6.250000,0.000000
0.120000,4000,1.000000,0.000000,8.333333,0.000000
0.120000,4250,0.100000,0.000000,0.833333,0.000000
0.120000,4250,0.200000,0.000000,1.666667,0.000000
0.120000,4250,0.300000,0.000000,2.500000,0.000000
0.120000,4250,0.500000,0.000000,4.166667,0.000000
0.120000,4250,0.750000,0.000000,6.250000,0.000000
0.120000,4250,1.000000,0.000000,8.333333,0.000000
0.120000,4500,0.100000,0.199924,0.833333,0.239909
0.120000,4500,0.200000,0.322173,1.666667,0.193304
0.120000,4500,0.300000,0.189911,2.500000,0.075964
0.120000,4500,0.500000,0.000000,4.166667,0.000000
0.120000,4500,0.750000,0.411558,6.250000,0.065849
0.120000,4500,1.000000,0.000000,8.333333,0.000000
0.120000,4750,0.100000,0.000000,0.833333,0.000000
0.120000,4750,0.200000,0.000000,1.666667,0.000000
0.120000,4750,0.300000,0.000000,2.500000,0.000000
0.120000,4750,0.500000,0.000000,4.166667,0.000000
0.120000,4750,0.750000,0.000000,6.250000,0.000000
0.120000,4750,1.000000,0.000000,8.333333,0.000000
0.120000,5000,0.100000,0.000000,0.833333,0.000000
0.120000,5000,0.200000,0.000000,1.666667,0.000000
0.120000,5000,0.300000,0.000000,2.500000,0.000000
0.120000,5000,0.500000,0.000000,4.166667,0.000000
0.120000,5000,0.750000,0.000000,6.250000,0.000000
0.120000,5000,1.000000,0.000000,8.333333,0.000000
0.120000,5250,0.100000,0.000000,0.833333,0.000000
0.120000,5250,0.200000,0.000000,1.666667,0.000000
0.120000,5250,0.300000,0.000000,2.500000,0.000000
0.120000,5250,0.500000,0.000000,4.166667,0.000000
0.120000,5250,0.750000,0.000000,6.250000,0.000000
0.120000,5250,1.000000,0.000000,8.333333,0.000000
0.120000,5500,0.100000,0.000000,0.833333,0.000000
0.120000,5500,0.200000,0.000000,1.666667,0.000000
0.120000,5500,0.300000,0.000000,2.500000,0.000000
0.120000,5500,0.500000,0.000000,4.166667,0.000000
0.120000,5500,0.750000,0.000000,6.250000,0.000000
0.120000,5500,1.000000,0.000000,8.333333,0.000000
0.120000,5750,0.100000,0.000000,0.833333,0.000000
0.120000,5750,0.200000,0.000000,1.666667,0.000000
0.120000,5750,0.300000,0.000000,2.500000,0.000000
0.120000,5750,0.500000,0.000000,4.166667,0.000000
0.120000,5750,0.750000,0.000000,6.250000,0.000000
0.120000,5750,1.000000,0.000000,8.333333,0.000000
0.120000,6000,0.100000,0.000000,0.833333,0.000000
0.120000,6000,0.200000,0.000000,1.666667,0.000000
0.120000,6000,0.300000,0.000000,2.500000,0.000000
0.120000,6000,0.500000,0.000000,4.166667,0.000000
0.120000,6000,0.750000,0.000000,6.250000,0.000000
0.120000,6000,1.000000,0.000000,8.333333,0.000000
0.120000,6250,0.100000,0.000000,0.833333,0.000000
0.120000,6250,0.200000,0.000000,1.666667,0.000000
0.120000,6250,0.300000,0.000000,2.500000,0.000000
0.120000,6250,0.500000,0.000000,4.166667,0.000000
0.120000,6250,0.750000,0.000000,6.250000,0.000000
0.120000,6250,1.000000,0.000000,8.333333,0.000000
0.120000,6500,0.100000,0.000000,0.833333,0.000000
0.120000,6500,0.200000,0.000000,1.666667,0.000000
0.120000,6500,0.300000,0.000000,2.500000,0.000000
0.120000,6500,0.500000,0.000000,4.166667,0.000000
0.120000,6500,0.750000,0.000000,6.250000,0.000000
0.120000,6500,1.000000,0.000000,8.333333,0.000000
0.120000,6750,0.100000,0.000000,0.833333,0.000000
0.120000,6750,0.200000,0.000000,1.666667,0.000000
0.120000,6750,0.300000,0.000000,2.500000,0.000000
0.120000,6750,0.500000,0.000000,4.166667,0.000000
0.120000,6750,0.750000,0.000000,6.250000,0.000000
0.120000,6750,1.000000,0.000000,8.333333,0.000000
0.120000,7000,0.100000,0.000000,0.833333,0.000000
0.120000,7000,0.200000,0.000000,1.666667,0.000000
0.120000,7000,0.300000,0.000000,2.500000,0.000000
0.120000,7000,0.500000,0.000000,4.166667,0.000000
0.120000,7000,0.750000,0.000000,6.250000,0.000000
0.120000,7000,1.000000,0.000000,8.333333,0.000000
0.120000,7250,0.100000,0.000000,0.833333,0.000000
0.120000,7250,0.200000,0.000000,1.666667,0.000000
0.120000,7250,0.300000,0.000000,2.500000,0.000000
0.120000,7250,0.500000,0.000000,4.166667,0.000000
0.120000,7250,0.750000,0.000000,6.250000,0.000000
0.120000,7250,1.000000,0.000000,8.333333,0.000000
0.120000,7500,0.100000,0.000000,0.833333,0.000000
0.120000,7500,0.200000,0.000000,1.666667,0.000000
0.120000,7500,0.300000,0.000000,2.500000,0.000000
0.120000,7500,0.500000,0.000000,4.166667,0.000000
0.120000,7500,0.750000,0.000000,6.250000,0.000000
0.120000,7500,1.000000,0.000000,8.333333,0.000000
0.120000,7750,0.100000,0.000000,0.833333,0.000000
0.120000,7750,0.200000,0.000000,1.666667,0.000000
0.120000,7750,0.300000,0.000000,2.500000,0.000000
0.120000,7750,0.500000,0.000000,4.166667,0.000000
0.120000,7750,0.750000,0.000000,6.250000,0.000000
0.120000,7750,1.000000,0.000000,8.333333,0.000000
0.120000,8000,0.100000,0.000000,0.833333,0.000000
0.120000,8000,0.200000,0.000000,1.666667,0.000000
0.120000,8000,0.300000,0.000000,2.500000,0.000000
0.120000,8000,0.500000,0.000000,4.166667,0.000000
0.120000,8000,0.750000,0.000000,6.250000,0.000000
0.120000,8000,1.000000,0.000000,8.333333,0.000000
0.120000,8250,0.100000,0.000000,0.833333,0.000000
0.120000,8250,0.200000,0.000000,1.666667,0.000000
0.120000,8250,0.300000,0.000000,2.500000,0.000000
0.120000,8250,0.500000,0.000000,4.166667,0.000000
0.120000,8250,0.750000,0.000000,6.250000,0.000000
0.120000,8250,1.000000,0.000000,8.333333,0.000000
0.120000,8500,0.100000,0.000000,0.833333,0.000000
0.120000,8500,0.200000,0.000000,1.666667,0.000000
0.120000,8500,0.300000,0.000000,2.500000,0.000000
0.120000,8500,0.500000,0.000000,4.166667,0.000000
0.120000,8500,0.750000,0.000000,6.250000,0.000000
0.120000,8500,1.000000,0.000000,8.333333,0.000000
0.120000,8750,0.100000,0.000000,0.833333,0.000000
0.120000,8750,0.200000,0.000000,1.666667,0.000000
0.120000,8750,0.300000,0.000000,2.500000,0.000000
0.120000,8750,0.500000,0.000000,4.166667,0.000000
0.120000,8750,0.750000,0.000000,6.250000,0.000000
0.120000,8750,1.000000,0.000000,8.333333,0.000000
0.120000,9000,0.100000,0.000000,0.833333,0.000000
0.120000,9000,0.200000,0.000000,1.666667,0.000000
0.120000,9000,0.300000,0.000000,2.500000,0.000000
0.120000,9000,0.500000,0.000000,4.166667,0.000000
0.120000,9000,0.750000,0.000000,6.250000,0.000000
0.120000,9000,1.000000,0.000000,8.333333,0.000000
0.120000,9250,0.100000,0.000000,0.833333,0.000000
0.120000,9250,0.200000,0.000000,1.666667,0.000000
0.120000,9250,0.300000,0.000000,2.500000,0.000000
0.120000,9250,0.500000,0.000000,4.166667,0.000000
0.120000,9250,0.750000,0.000000,6.250000,0.000000
0.120000,9250,1.000000,0.000000,8.333333,0.000000
0.120000,9500,0.100000,0.000000,0.833333,0.000000
0.120000,9500,0.200000,0.000000,1.666667,0.000000
0.120000,9500,0.300000,0.000000,2.500000,0.000000
0.120000,9500,0.500000,0.000000,4.166667,0.000000
0.120000,9500,0.750000,0.000000,6.250000,0.000000
0.120000,9500,1.000000,0.000000,8.333333,0.000000
0.120000,9750,0.100000,0.000000,0.833333,0.000000
0.120000,9750,0.200000,0.000000,1.666667,0.000000
0.120000,9750,0.300000,0.000000,2.500000,0.000000
0.120000,9750,0.500000,0.000000,4.166667,0.000000
