d	acc	floats
8	98.050000	59914
16	98.630000	110378
32	98.370000	211690
64	98.630000	415850
128	98.660000	830314
256	98.780000	1683818
512	96.660000	3489130
1024	98.720000	7492970
2048	98.710000	17073514
4096	98.810000	42526058
