epoch,top1,top5
10,6.818,18.226
20,24.806,47.336
30,40.084,65.540
40,48.328,73.516
50,52.472,77.350
60,55.230,79.376
70,57.000,80.998
80,58.272,81.976
90,59.318,82.780
100,60.264,83.476
110,61.066,84.198
120,61.954,84.954
130,62.864,85.390
140,63.590,85.988
150,64.084,86.390
160,64.774,86.792
170,65.430,87.174
180,65.998,87.526
190,66.598,87.840
200,67.030,88.154
210,67.550,88.494
220,68.018,88.866
230,68.514,89.052
240,68.974,89.280
250,69.358,89.508
260,69.622,89.668
270,69.858,89.768
280,70.106,89.878
290,70.260,90.004
300,70.276,90.052
