ts,card,edge_C,junction_C,mem_C,sclk_MHz,power_W,use_pct
2026-07-01 18:00:10,card0,68.0,85.0,86.0,3095,169.0,100
2026-07-01 18:00:10,card1,58.0,80.0,74.0,3063,157.0,100
2026-07-01 18:00:40,card0,68.0,85.0,86.0,2863,268.0,100
2026-07-01 18:00:40,card1,58.0,80.0,74.0,2777,278.0,100
2026-07-01 18:01:10,card0,67.0,85.0,86.0,2926,336.0,100
2026-07-01 18:01:10,card1,58.0,80.0,74.0,2843,289.0,100
2026-07-01 18:01:40,card0,67.0,84.0,86.0,2932,339.0,100
2026-07-01 18:01:40,card1,58.0,80.0,74.0,2875,143.0,100
2026-07-01 18:02:10,card0,67.0,84.0,86.0,2952,288.0,100
2026-07-01 18:02:10,card1,58.0,80.0,74.0,2836,348.0,100
2026-07-01 18:02:40,card0,67.0,85.0,86.0,2752,286.0,100
2026-07-01 18:02:40,card1,58.0,80.0,74.0,2809,289.0,100
2026-07-01 18:03:10,card0,67.0,84.0,86.0,2889,289.0,100
2026-07-01 18:03:10,card1,57.0,79.0,74.0,2807,274.0,100
2026-07-01 18:03:40,card0,66.0,84.0,85.0,2963,311.0,100
2026-07-01 18:03:40,card1,58.0,80.0,74.0,2816,253.0,100
2026-07-01 18:04:10,card0,66.0,84.0,85.0,2949,262.0,100
2026-07-01 18:04:10,card1,58.0,80.0,74.0,2840,313.0,100
2026-07-01 18:04:41,card0,66.0,84.0,85.0,3053,340.0,100
2026-07-01 18:04:41,card1,58.0,80.0,74.0,2660,304.0,100
2026-07-01 18:05:11,card0,67.0,84.0,85.0,2876,345.0,100
2026-07-01 18:05:11,card1,58.0,80.0,74.0,2802,278.0,100
2026-07-01 18:05:41,card0,67.0,84.0,86.0,2913,340.0,100
2026-07-01 18:05:41,card1,58.0,80.0,74.0,2783,323.0,100
2026-07-01 18:06:11,card0,67.0,85.0,86.0,3092,169.0,100
2026-07-01 18:06:11,card1,58.0,80.0,74.0,3056,158.0,100
2026-07-01 18:06:41,card0,68.0,85.0,86.0,2896,358.0,100
2026-07-01 18:06:41,card1,58.0,80.0,74.0,2811,326.0,100
2026-07-01 18:07:11,card0,68.0,85.0,86.0,2911,320.0,100
2026-07-01 18:07:11,card1,58.0,80.0,74.0,2764,295.0,100
2026-07-01 18:07:41,card0,67.0,85.0,86.0,2880,315.0,100
2026-07-01 18:07:41,card1,58.0,80.0,74.0,2770,313.0,100
2026-07-01 18:08:11,card0,68.0,85.0,86.0,3100,168.0,100
2026-07-01 18:08:11,card1,58.0,80.0,74.0,2977,266.0,100
2026-07-01 18:08:42,card0,68.0,85.0,86.0,2752,282.0,100
2026-07-01 18:08:42,card1,58.0,80.0,74.0,2752,305.0,100
2026-07-01 18:09:12,card0,68.0,85.0,86.0,2892,314.0,100
2026-07-01 18:09:12,card1,58.0,80.0,74.0,2766,294.0,100
2026-07-01 18:09:42,card0,68.0,85.0,86.0,2925,321.0,100
2026-07-01 18:09:42,card1,58.0,80.0,74.0,2805,320.0,100
2026-07-01 18:10:12,card0,67.0,85.0,86.0,2892,342.0,100
2026-07-01 18:10:12,card1,57.0,80.0,74.0,2764,312.0,100
2026-07-01 18:10:42,card0,67.0,85.0,86.0,3094,172.0,100
2026-07-01 18:10:42,card1,58.0,80.0,74.0,3052,159.0,100
2026-07-01 18:11:12,card0,67.0,85.0,86.0,3095,168.0,100
2026-07-01 18:11:12,card1,58.0,80.0,74.0,2783,316.0,100
2026-07-01 18:11:42,card0,67.0,85.0,86.0,2899,283.0,100
2026-07-01 18:11:42,card1,58.0,80.0,74.0,2809,313.0,100
2026-07-01 18:12:12,card0,67.0,85.0,86.0,2929,311.0,100
2026-07-01 18:12:12,card1,58.0,80.0,74.0,2757,301.0,100
2026-07-01 18:12:42,card0,67.0,85.0,86.0,3090,172.0,100
2026-07-01 18:12:42,card1,58.0,80.0,74.0,3053,171.0,100
2026-07-01 18:13:13,card0,68.0,85.0,86.0,2805,304.0,100
2026-07-01 18:13:13,card1,58.0,80.0,74.0,2627,290.0,100
2026-07-01 18:13:43,card0,67.0,85.0,86.0,2919,286.0,100
2026-07-01 18:13:43,card1,58.0,80.0,74.0,2810,286.0,100
2026-07-01 18:14:13,card0,67.0,84.0,86.0,2930,306.0,100
2026-07-01 18:14:13,card1,58.0,80.0,74.0,3053,161.0,100
2026-07-01 18:14:43,card0,67.0,85.0,86.0,2918,309.0,100
2026-07-01 18:14:43,card1,58.0,80.0,74.0,2786,300.0,100
2026-07-01 18:15:13,card0,68.0,85.0,86.0,2882,328.0,100
2026-07-01 18:15:13,card1,58.0,80.0,74.0,2781,300.0,100
2026-07-01 18:15:43,card0,68.0,86.0,86.0,2798,336.0,100
2026-07-01 18:15:43,card1,58.0,80.0,74.0,2795,308.0,100
2026-07-01 18:16:13,card0,68.0,86.0,86.0,2862,302.0,100
2026-07-01 18:16:13,card1,58.0,80.0,74.0,2847,285.0,100
2026-07-01 18:16:43,card0,68.0,85.0,86.0,2886,324.0,100
2026-07-01 18:16:43,card1,58.0,80.0,74.0,2838,319.0,100
2026-07-01 18:17:13,card0,68.0,85.0,86.0,3099,168.0,100
2026-07-01 18:17:13,card1,58.0,80.0,74.0,2797,333.0,100
2026-07-01 18:17:44,card0,68.0,85.0,86.0,2799,299.0,100
2026-07-01 18:17:44,card1,58.0,80.0,74.0,2657,284.0,100
2026-07-01 18:18:14,card0,68.0,85.0,86.0,3096,169.0,100
2026-07-01 18:18:14,card1,58.0,80.0,74.0,3057,157.0,100
2026-07-01 18:18:44,card0,67.0,85.0,86.0,2774,307.0,100
2026-07-01 18:18:44,card1,58.0,80.0,74.0,2727,279.0,100
2026-07-01 18:19:14,card0,68.0,85.0,86.0,3091,174.0,100
2026-07-01 18:19:14,card1,58.0,80.0,74.0,3052,161.0,100
2026-07-01 18:19:44,card0,68.0,85.0,86.0,2805,303.0,100
2026-07-01 18:19:44,card1,58.0,80.0,74.0,2732,289.0,100
2026-07-01 18:20:14,card0,68.0,85.0,86.0,2927,300.0,100
2026-07-01 18:20:14,card1,58.0,80.0,74.0,2802,318.0,100
2026-07-01 18:20:44,card0,67.0,85.0,86.0,3094,170.0,100
2026-07-01 18:20:44,card1,58.0,80.0,74.0,3054,160.0,100
2026-07-01 18:21:14,card0,68.0,85.0,86.0,2846,314.0,100
2026-07-01 18:21:14,card1,58.0,80.0,74.0,2651,311.0,100
2026-07-01 18:21:45,card0,67.0,85.0,86.0,2883,295.0,100
2026-07-01 18:21:45,card1,58.0,80.0,74.0,2760,302.0,100
2026-07-01 18:22:15,card0,67.0,85.0,86.0,2755,295.0,100
2026-07-01 18:22:15,card1,58.0,80.0,74.0,2631,294.0,100
2026-07-01 18:22:45,card0,68.0,85.0,86.0,2880,272.0,100
2026-07-01 18:22:45,card1,58.0,80.0,74.0,2810,304.0,100
2026-07-01 18:23:15,card0,68.0,85.0,86.0,2900,281.0,100
2026-07-01 18:23:15,card1,58.0,80.0,74.0,2785,310.0,100
2026-07-01 18:23:45,card0,68.0,85.0,86.0,2833,310.0,100
2026-07-01 18:23:45,card1,58.0,80.0,74.0,2762,300.0,100
2026-07-01 18:24:15,card0,67.0,85.0,86.0,2915,308.0,100
2026-07-01 18:24:15,card1,58.0,80.0,74.0,2766,301.0,100
2026-07-01 18:24:45,card0,67.0,85.0,86.0,3098,168.0,100
2026-07-01 18:24:45,card1,58.0,80.0,74.0,3052,156.0,100
2026-07-01 18:25:15,card0,67.0,85.0,86.0,2915,286.0,100
2026-07-01 18:25:15,card1,58.0,80.0,74.0,2750,277.0,100
2026-07-01 18:25:45,card0,67.0,85.0,86.0,2921,263.0,100
2026-07-01 18:25:45,card1,58.0,80.0,74.0,2767,287.0,100
2026-07-01 18:26:16,card0,68.0,85.0,86.0,2888,347.0,100
2026-07-01 18:26:16,card1,58.0,80.0,74.0,2810,299.0,100
2026-07-01 18:26:46,card0,68.0,85.0,86.0,2909,318.0,100
2026-07-01 18:26:46,card1,58.0,80.0,74.0,2870,167.0,100
2026-07-01 18:27:16,card0,68.0,85.0,86.0,2819,256.0,100
2026-07-01 18:27:16,card1,58.0,80.0,74.0,2778,317.0,100
2026-07-01 18:27:46,card0,67.0,85.0,86.0,2940,350.0,100
2026-07-01 18:27:46,card1,58.0,80.0,74.0,2829,291.0,100
2026-07-01 18:28:16,card0,68.0,85.0,86.0,2918,297.0,100
2026-07-01 18:28:16,card1,58.0,80.0,74.0,2782,296.0,100
2026-07-01 18:28:46,card0,68.0,85.0,86.0,2916,313.0,100
2026-07-01 18:28:46,card1,58.0,80.0,74.0,2841,309.0,100
2026-07-01 18:29:16,card0,68.0,85.0,86.0,2906,304.0,100
2026-07-01 18:29:16,card1,58.0,80.0,74.0,2809,306.0,100
2026-07-01 18:29:46,card0,68.0,85.0,86.0,2744,329.0,100
2026-07-01 18:29:46,card1,58.0,80.0,74.0,2643,282.0,100
2026-07-01 18:30:16,card0,67.0,84.0,86.0,2873,289.0,100
2026-07-01 18:30:16,card1,58.0,80.0,74.0,2797,278.0,100
2026-07-01 18:30:46,card0,67.0,84.0,86.0,2808,283.0,100
2026-07-01 18:30:46,card1,58.0,80.0,74.0,2768,293.0,100
2026-07-01 18:31:17,card0,68.0,85.0,86.0,2859,324.0,100
2026-07-01 18:31:17,card1,58.0,80.0,74.0,2755,342.0,100
2026-07-01 18:31:47,card0,68.0,85.0,86.0,2924,285.0,100
2026-07-01 18:31:47,card1,58.0,80.0,74.0,2840,284.0,100
2026-07-01 18:32:17,card0,67.0,85.0,86.0,3095,170.0,100
2026-07-01 18:32:17,card1,58.0,80.0,74.0,3054,170.0,100
2026-07-01 18:32:47,card0,67.0,85.0,86.0,2882,329.0,100
2026-07-01 18:32:47,card1,58.0,80.0,74.0,2824,310.0,100
2026-07-01 18:33:17,card0,68.0,85.0,86.0,2929,302.0,100
2026-07-01 18:33:17,card1,58.0,80.0,74.0,2829,314.0,100
2026-07-01 18:33:47,card0,68.0,85.0,86.0,3093,170.0,100
2026-07-01 18:33:47,card1,58.0,80.0,74.0,3053,158.0,100
2026-07-01 18:34:17,card0,68.0,85.0,86.0,3094,170.0,100
2026-07-01 18:34:17,card1,58.0,80.0,74.0,3057,157.0,100
2026-07-01 18:34:47,card0,68.0,85.0,86.0,3093,169.0,100
2026-07-01 18:34:47,card1,58.0,80.0,74.0,3056,156.0,100
2026-07-01 18:35:17,card0,67.0,85.0,86.0,2951,322.0,100
2026-07-01 18:35:17,card1,58.0,80.0,74.0,2839,293.0,100
2026-07-01 18:35:48,card0,67.0,85.0,86.0,2794,260.0,100
2026-07-01 18:35:48,card1,58.0,80.0,74.0,2740,322.0,100
2026-07-01 18:36:18,card0,68.0,85.0,86.0,2729,317.0,100
2026-07-01 18:36:18,card1,58.0,80.0,74.0,2621,288.0,100
2026-07-01 18:36:48,card0,68.0,85.0,86.0,2888,353.0,100
2026-07-01 18:36:48,card1,58.0,80.0,74.0,2806,283.0,100
2026-07-01 18:37:18,card0,68.0,85.0,86.0,2925,287.0,100
2026-07-01 18:37:18,card1,58.0,80.0,74.0,2830,302.0,100
2026-07-01 18:37:48,card0,67.0,84.0,86.0,3095,171.0,100
2026-07-01 18:37:48,card1,58.0,80.0,74.0,3049,158.0,100
2026-07-01 18:38:18,card0,67.0,84.0,86.0,3096,168.0,100
2026-07-01 18:38:18,card1,58.0,80.0,74.0,2974,339.0,100
2026-07-01 18:38:48,card0,67.0,85.0,86.0,3098,346.0,100
2026-07-01 18:38:48,card1,58.0,80.0,74.0,2659,303.0,100
2026-07-01 18:39:18,card0,68.0,85.0,86.0,3094,170.0,100
2026-07-01 18:39:18,card1,58.0,80.0,74.0,3053,156.0,100
2026-07-01 18:39:49,card0,68.0,85.0,86.0,2912,304.0,100
2026-07-01 18:39:49,card1,58.0,80.0,74.0,2770,290.0,100
2026-07-01 18:40:19,card0,68.0,85.0,86.0,2774,332.0,100
2026-07-01 18:40:19,card1,58.0,80.0,74.0,2666,299.0,100
2026-07-01 18:40:49,card0,67.0,85.0,86.0,2872,346.0,100
2026-07-01 18:40:49,card1,58.0,80.0,74.0,2790,297.0,100
2026-07-01 18:41:19,card0,68.0,85.0,86.0,2803,333.0,100
2026-07-01 18:41:19,card1,58.0,80.0,74.0,2798,304.0,100
2026-07-01 18:41:49,card0,68.0,85.0,86.0,3100,170.0,100
2026-07-01 18:41:49,card1,58.0,80.0,74.0,3057,157.0,100
