step,E,var
0,-19.68000000,4.92e+0
500,-21.12325769,7.72e-2
1000,-21.12540811,3.12e-2
1500,-21.12607035,1.85e-2
2000,-21.12632440,1.29e-2
2500,-21.12644492,1.02e-2
3000,-21.12650414,8.83e-3
3500,-21.12653314,8.15e-3
4000,-21.12654826,7.80e-3
