step,E,var
0,-12.12000000,1.20e-3
100,-12.12012011,7.17e-4
200,-12.12023482,2.75e-4
300,-12.12023657,2.67e-4
400,-12.12025040,2.13e-4
500,-12.12026187,1.69e-4
600,-12.12028900,6.20e-5
700,-12.12029328,4.22e-5
800,-12.12029443,3.67e-5
900,-12.12029505,3.42e-5
1000,-12.12029576,3.12e-5
1100,-12.12029646,2.98e-5
1200,-12.12029793,2.46e-5
1300,-12.12029907,1.98e-5
1400,-12.12030066,1.32e-5
1500,-12.12030118,1.05e-5
1600,-12.12030152,8.98e-6
1700,-12.12030171,8.01e-6
1800,-12.12030186,7.32e-6
1900,-12.12030206,6.39e-6
2000,-12.12030214,5.92e-6
2100,-12.12030223,5.47e-6
2200,-12.12030225,5.33e-6
2300,-12.12030231,5.01e-6
2400,-12.12030231,4.93e-6
2500,-12.12030232,4.84e-6
2600,-12.12030236,4.66e-6
2700,-12.12030237,4.59e-6
2800,-12.12030233,4.72e-6
2900,-12.12030238,4.48e-6
3000,-12.12030237,4.53e-6
3100,-12.12030239,4.41e-6
3200,-12.12030239,4.40e-6
3300,-12.12030240,4.35e-6
3400,-12.12030241,4.30e-6
3500,-12.12030240,4.34e-6
3600,-12.12030242,4.27e-6
3700,-12.12030242,4.24e-6
3800,-12.12030242,4.24e-6
3900,-12.12030242,4.24e-6
4000,-12.12030243,4.21e-6
