step,E,var
0,-19.95777929,5.38e+0
100,-21.09768023,5.45e-1
200,-21.11598538,2.23e-1
300,-21.12043169,1.38e-1
400,-21.12254653,9.44e-2
500,-21.12368652,7.07e-2
600,-21.12437846,5.54e-2
700,-21.12487743,4.54e-2
800,-21.12520770,3.81e-2
900,-21.12543860,3.28e-2
1000,-21.12562701,2.87e-2
1100,-21.12577620,2.54e-2
1200,-21.12589236,2.28e-2
1300,-21.12598694,2.06e-2
1400,-21.12605273,1.89e-2
1500,-21.12613174,1.74e-2
1600,-21.12617787,1.60e-2
1700,-21.12624277,1.48e-2
1800,-21.12628667,1.39e-2
1900,-21.12632126,1.31e-2
2000,-21.12635616,1.23e-2
2100,-21.12638434,1.17e-2
2200,-21.12640909,1.11e-2
2300,-21.12643084,1.06e-2
2400,-21.12645067,1.01e-2
2500,-21.12647033,9.65e-3
2600,-21.12648641,9.28e-3
2700,-21.12650134,8.92e-3
2800,-21.12651384,8.63e-3
2900,-21.12652496,8.37e-3
3000,-21.12653534,8.13e-3
3100,-21.12654323,7.94e-3
3200,-21.12655102,7.76e-3
3300,-21.12655795,7.60e-3
3400,-21.12656308,7.47e-3
3500,-21.12656819,7.36e-3
3600,-21.12657207,7.27e-3
3700,-21.12657603,7.17e-3
3800,-21.12657940,7.09e-3
3900,-21.12658237,7.03e-3
4000,-21.12658546,6.94e-3
