step,E,var
0,-17.96355221,3.18e+0
100,-18.99548564,5.07e-1
200,-19.01518398,1.92e-1
300,-19.01952812,1.13e-1
400,-19.02155993,7.65e-2
500,-19.02255882,5.72e-2
600,-19.02310365,4.56e-2
700,-19.02351198,3.80e-2
800,-19.02378065,3.24e-2
900,-19.02395380,2.84e-2
1000,-19.02414651,2.52e-2
1100,-19.02425044,2.28e-2
1200,-19.02435723,2.08e-2
1300,-19.02444068,1.90e-2
1400,-19.02447667,1.76e-2
1500,-19.02456191,1.63e-2
1600,-19.02462724,1.52e-2
1700,-19.02465989,1.42e-2
1800,-19.02470724,1.33e-2
1900,-19.02475084,1.25e-2
2000,-19.02478338,1.18e-2
2100,-19.02481360,1.11e-2
2200,-19.02483767,1.06e-2
2300,-19.02485799,1.02e-2
2400,-19.02487431,9.81e-3
2500,-19.02489241,9.44e-3
2600,-19.02490819,9.11e-3
2700,-19.02492133,8.83e-3
2800,-19.02493131,8.60e-3
2900,-19.02494053,8.41e-3
3000,-19.02494845,8.22e-3
3100,-19.02495734,8.05e-3
3200,-19.02496333,7.91e-3
3300,-19.02496963,7.78e-3
3400,-19.02497465,7.67e-3
3500,-19.02497968,7.56e-3
3600,-19.02498251,7.50e-3
3700,-19.02498583,7.43e-3
3800,-19.02498905,7.36e-3
3900,-19.02499168,7.30e-3
4000,-19.02499486,7.23e-3
