step,E,var
0,-24.00000000,1.20e+1
100,-25.49587531,6.35e-1
200,-25.51299633,2.85e-1
300,-25.51815242,1.71e-1
400,-25.52051513,1.17e-1
500,-25.52170779,8.86e-2
600,-25.52245395,7.04e-2
700,-25.52295907,5.79e-2
800,-25.52333094,4.86e-2
900,-25.52362656,4.11e-2
1000,-25.52384739,3.54e-2
1100,-25.52401664,3.10e-2
1200,-25.52415177,2.74e-2
1300,-25.52425598,2.46e-2
1400,-25.52434172,2.23e-2
1500,-25.52441591,2.03e-2
1600,-25.52448049,1.85e-2
1700,-25.52453250,1.71e-2
1800,-25.52457550,1.59e-2
1900,-25.52461304,1.49e-2
2000,-25.52464738,1.40e-2
2100,-25.52467650,1.32e-2
2200,-25.52470199,1.25e-2
2300,-25.52472621,1.18e-2
2400,-25.52474652,1.12e-2
2500,-25.52476492,1.07e-2
2600,-25.52477982,1.03e-2
2700,-25.52479331,9.94e-3
2800,-25.52480506,9.62e-3
2900,-25.52481440,9.35e-3
3000,-25.52482397,9.08e-3
3100,-25.52483182,8.87e-3
3200,-25.52483819,8.68e-3
3300,-25.52484436,8.51e-3
3400,-25.52484991,8.35e-3
3500,-25.52485395,8.23e-3
3600,-25.52485721,8.14e-3
3700,-25.52486079,8.04e-3
3800,-25.52486434,7.94e-3
3900,-25.52486680,7.87e-3
4000,-25.52486942,7.80e-3
