step,E,var
0,-12.12000000,1.20e-3
100,-12.12028631,9.18e-5
200,-12.12029542,4.27e-5
300,-12.12029383,4.77e-5
400,-12.12029568,3.94e-5
500,-12.12029825,2.79e-5
600,-12.12029728,3.14e-5
700,-12.12029934,2.22e-5
800,-12.12029555,3.73e-5
900,-12.12030002,1.85e-5
1000,-12.12030081,1.50e-5
1100,-12.12030059,1.55e-5
1200,-12.12030000,1.75e-5
1300,-12.12030137,1.16e-5
1400,-12.12030167,1.02e-5
1500,-12.12030166,1.01e-5
1600,-12.12030186,9.02e-6
1700,-12.12030186,8.77e-6
1800,-12.12030158,9.70e-6
1900,-12.12030207,7.64e-6
2000,-12.12030214,7.19e-6
2100,-12.12030216,6.96e-6
2200,-12.12030213,6.97e-6
2300,-12.12030219,6.61e-6
2400,-12.12030229,6.14e-6
2500,-12.12030228,6.10e-6
2600,-12.12030234,5.79e-6
2700,-12.12030236,5.62e-6
2800,-12.12030236,5.57e-6
2900,-12.12030238,5.41e-6
3000,-12.12030240,5.29e-6
3100,-12.12030242,5.18e-6
3200,-12.12030241,5.19e-6
3300,-12.12030245,5.00e-6
3400,-12.12030246,4.94e-6
3500,-12.12030246,4.90e-6
3600,-12.12030247,4.85e-6
3700,-12.12030246,4.85e-6
3800,-12.12030248,4.77e-6
3900,-12.12030247,4.79e-6
4000,-12.12030248,4.71e-6
