step,E,var
0,-22.22212454,7.67e+0
100,-23.25643045,6.87e-1
200,-23.28749699,2.14e-1
300,-23.29533737,1.11e-1
400,-23.29791419,7.09e-2
500,-23.29911702,5.27e-2
600,-23.29534632,6.23e-2
700,-23.29850614,4.45e-2
800,-23.30019925,3.11e-2
900,-23.30049000,2.68e-2
1000,-23.30010006,2.68e-2
1100,-23.30043121,2.35e-2
1200,-23.30066141,2.07e-2
1300,-23.30018336,2.29e-2
1400,-23.30076875,1.75e-2
1500,-23.30096621,1.59e-2
1600,-23.30108469,1.45e-2
1700,-23.30109293,1.38e-2
1800,-23.30119056,1.26e-2
1900,-23.30127597,1.19e-2
2000,-23.30130296,1.11e-2
2100,-23.30138772,1.03e-2
2200,-23.30128364,1.08e-2
2300,-23.30132334,1.01e-2
2400,-23.30145742,9.03e-3
2500,-23.30145454,8.81e-3
2600,-23.30146915,8.49e-3
2700,-23.30149985,8.17e-3
2800,-23.30148553,8.06e-3
2900,-23.30151883,7.72e-3
3000,-23.30153660,7.57e-3
3100,-23.30153941,7.38e-3
3200,-23.30155600,7.23e-3
3300,-23.30155593,7.14e-3
3400,-23.30156752,6.99e-3
3500,-23.30157665,6.84e-3
3600,-23.30157278,6.82e-3
3700,-23.30158220,6.73e-3
3800,-23.30157996,6.72e-3
3900,-23.30158609,6.62e-3
4000,-23.30158864,6.56e-3
