step,E,var
0,-16.33668138,1.64e+0
100,-16.77387180,1.52e+0
200,-16.98310933,8.10e-1
300,-17.01913588,4.23e-1
400,-17.03101080,2.72e-1
500,-17.03633485,1.93e-1
600,-17.03568187,1.65e-1
700,-17.04098552,1.20e-1
800,-17.04314149,9.54e-2
900,-17.04425837,7.94e-2
1000,-17.04490004,6.75e-2
1100,-17.04542446,5.93e-2
1200,-17.04471489,5.93e-2
1300,-17.04616045,4.72e-2
1400,-17.04642196,4.16e-2
1500,-17.04686252,3.69e-2
1600,-17.04687380,3.45e-2
1700,-17.04709483,3.16e-2
1800,-17.04742947,2.78e-2
1900,-17.04735077,2.70e-2
2000,-17.04754712,2.45e-2
2100,-17.04774159,2.21e-2
2200,-17.04785853,2.05e-2
2300,-17.04790929,1.95e-2
2400,-17.04796123,1.84e-2
2500,-17.04803510,1.73e-2
2600,-17.04808045,1.65e-2
2700,-17.04812027,1.57e-2
2800,-17.04815661,1.50e-2
2900,-17.04819288,1.45e-2
3000,-17.04821799,1.40e-2
3100,-17.04824778,1.35e-2
3200,-17.04827518,1.31e-2
3300,-17.04828950,1.28e-2
3400,-17.04830335,1.25e-2
3500,-17.04831279,1.23e-2
3600,-17.04832880,1.21e-2
3700,-17.04833768,1.19e-2
3800,-17.04835081,1.17e-2
3900,-17.04835857,1.15e-2
4000,-17.04836074,1.14e-2
