step,E,var
0,-16.33668138,1.64e+0
100,-17.02530467,3.62e-1
200,-17.04127401,1.32e-1
300,-17.04442937,8.08e-2
400,-17.04584302,5.62e-2
500,-17.04665769,4.27e-2
600,-17.04713668,3.41e-2
700,-17.04741517,2.88e-2
800,-17.04767133,2.46e-2
900,-17.04783750,2.16e-2
1000,-17.04794507,1.93e-2
1100,-17.04803886,1.75e-2
1200,-17.04814775,1.59e-2
1300,-17.04815792,1.48e-2
1400,-17.04826111,1.35e-2
1500,-17.04826170,1.28e-2
1600,-17.04835518,1.19e-2
1700,-17.04837248,1.13e-2
1800,-17.04841827,1.07e-2
1900,-17.04844923,1.01e-2
2000,-17.04846770,9.68e-3
2100,-17.04849488,9.27e-3
2200,-17.04851155,8.88e-3
2300,-17.04852927,8.59e-3
2400,-17.04854212,8.30e-3
2500,-17.04855825,8.05e-3
2600,-17.04856724,7.85e-3
2700,-17.04857818,7.67e-3
2800,-17.04858896,7.48e-3
2900,-17.04859718,7.31e-3
3000,-17.04860493,7.17e-3
3100,-17.04861190,7.04e-3
3200,-17.04861800,6.93e-3
3300,-17.04862217,6.84e-3
3400,-17.04862789,6.74e-3
3500,-17.04863169,6.66e-3
3600,-17.04863476,6.60e-3
3700,-17.04863770,6.54e-3
3800,-17.04864068,6.49e-3
3900,-17.04864260,6.45e-3
4000,-17.04864541,6.40e-3
