step,E,var
0,-12.48000005,1.92e-2
100,-12.48439284,2.56e-3
200,-12.48440541,2.40e-3
300,-12.48473127,1.31e-3
400,-12.48485391,7.98e-4
500,-12.48489604,6.13e-4
600,-12.48491972,4.99e-4
700,-12.48493353,3.91e-4
800,-12.48494874,3.35e-4
900,-12.48495937,2.76e-4
1000,-12.48496840,2.37e-4
1100,-12.48497275,2.18e-4
1200,-12.48497434,2.08e-4
1300,-12.48498326,1.59e-4
1400,-12.48498494,1.48e-4
1500,-12.48498592,1.43e-4
1600,-12.48498884,1.25e-4
1700,-12.48498802,1.28e-4
1800,-12.48499087,1.10e-4
1900,-12.48499104,1.09e-4
2000,-12.48499044,1.10e-4
2100,-12.48499241,9.88e-5
2200,-12.48499296,9.58e-5
2300,-12.48499352,9.16e-5
2400,-12.48499396,8.81e-5
2500,-12.48499419,8.58e-5
2600,-12.48499450,8.43e-5
2700,-12.48499471,8.25e-5
2800,-12.48499502,8.06e-5
2900,-12.48499517,7.90e-5
3000,-12.48499539,7.80e-5
3100,-12.48499561,7.61e-5
3200,-12.48499572,7.55e-5
3300,-12.48499587,7.43e-5
3400,-12.48499595,7.36e-5
3500,-12.48499606,7.31e-5
3600,-12.48499617,7.21e-5
3700,-12.48499627,7.18e-5
3800,-12.48499633,7.12e-5
3900,-12.48499639,7.07e-5
4000,-12.48499647,7.03e-5
