step,E,var
0,-19.95777929,5.38e+0
100,-21.01792509,1.55e+0
200,-21.09385525,5.42e-1
300,-21.11027686,2.98e-1
400,-21.11566172,1.96e-1
500,-21.11933767,1.43e-1
600,-21.12094541,1.11e-1
700,-21.12233047,9.03e-2
800,-21.12265147,8.00e-2
900,-21.12309488,6.98e-2
1000,-21.12406291,5.81e-2
1100,-21.12439927,5.15e-2
1200,-21.12380829,5.16e-2
1300,-21.12478883,4.28e-2
1400,-21.12483369,3.99e-2
1500,-21.12494379,3.72e-2
1600,-21.12523096,3.32e-2
1700,-21.12535916,3.11e-2
1800,-21.12526676,3.03e-2
1900,-21.12559605,2.69e-2
2000,-21.12565241,2.53e-2
2100,-21.12577390,2.36e-2
2200,-21.12580171,2.27e-2
2300,-21.12591056,2.12e-2
2400,-21.12595770,2.02e-2
2500,-21.12599497,1.95e-2
2600,-21.12604772,1.85e-2
2700,-21.12606498,1.80e-2
2800,-21.12609699,1.74e-2
2900,-21.12611929,1.69e-2
3000,-21.12614128,1.65e-2
3100,-21.12616415,1.60e-2
3200,-21.12618394,1.56e-2
3300,-21.12619167,1.54e-2
3400,-21.12620525,1.51e-2
3500,-21.12621660,1.49e-2
3600,-21.12622609,1.47e-2
3700,-21.12623321,1.46e-2
3800,-21.12624256,1.44e-2
3900,-21.12624664,1.42e-2
4000,-21.12625529,1.41e-2
