step,E,var
0,-13.92016911,3.08e-1
100,-13.98304281,1.18e-1
200,-14.00129272,8.13e-2
300,-14.00505954,7.20e-2
400,-14.00925604,7.25e-2
500,-14.01301978,5.85e-2
600,-14.01565887,4.71e-2
700,-14.01734416,3.77e-2
800,-14.01817888,3.20e-2
900,-14.01883064,2.45e-2
1000,-14.01937703,2.09e-2
1100,-14.01960318,1.85e-2
1200,-14.01983717,1.64e-2
1300,-14.01982633,1.62e-2
1400,-14.02007853,1.34e-2
1500,-14.02024301,1.18e-2
1600,-14.02033185,1.05e-2
1700,-14.02033050,9.86e-3
1800,-14.02045357,9.39e-3
1900,-14.02048730,8.40e-3
2000,-14.02057144,7.87e-3
2100,-14.02061008,7.47e-3
2200,-14.02063639,6.96e-3
2300,-14.02063596,6.62e-3
2400,-14.02068655,6.31e-3
2500,-14.02071009,6.10e-3
2600,-14.02074505,5.66e-3
2700,-14.02076453,5.45e-3
2800,-14.02078104,5.20e-3
2900,-14.02078727,5.05e-3
3000,-14.02080633,4.91e-3
3100,-14.02081101,4.77e-3
3200,-14.02082627,4.63e-3
3300,-14.02083158,4.54e-3
3400,-14.02084080,4.45e-3
3500,-14.02084544,4.38e-3
3600,-14.02085041,4.30e-3
3700,-14.02085529,4.24e-3
3800,-14.02085924,4.19e-3
3900,-14.02086172,4.16e-3
4000,-14.02086551,4.11e-3
