step,E,var
0,-22.22212454,7.67e+0
100,-23.27395694,5.43e-1
200,-23.29111214,2.36e-1
300,-23.29556263,1.44e-1
400,-23.29770615,9.82e-2
500,-23.29892682,7.10e-2
600,-23.29964374,5.46e-2
700,-23.30012025,4.34e-2
800,-23.30043856,3.59e-2
900,-23.30068233,3.01e-2
1000,-23.30086808,2.57e-2
1100,-23.30100478,2.23e-2
1200,-23.30111192,1.97e-2
1300,-23.30119030,1.76e-2
1400,-23.30126668,1.58e-2
1500,-23.30132244,1.44e-2
1600,-23.30137515,1.30e-2
1700,-23.30141875,1.20e-2
1800,-23.30145437,1.10e-2
1900,-23.30148955,1.02e-2
2000,-23.30151775,9.44e-3
2100,-23.30154226,8.82e-3
2200,-23.30156167,8.29e-3
2300,-23.30157839,7.85e-3
2400,-23.30159564,7.44e-3
2500,-23.30160880,7.08e-3
2600,-23.30162048,6.80e-3
2700,-23.30163056,6.53e-3
2800,-23.30163879,6.33e-3
2900,-23.30164560,6.14e-3
3000,-23.30165274,5.96e-3
3100,-23.30165845,5.81e-3
3200,-23.30166322,5.69e-3
3300,-23.30166711,5.59e-3
3400,-23.30167154,5.48e-3
3500,-23.30167489,5.39e-3
3600,-23.30167719,5.33e-3
3700,-23.30167997,5.26e-3
3800,-23.30168202,5.21e-3
3900,-23.30168416,5.15e-3
4000,-23.30168587,5.11e-3
