step,E,var
0,-12.48000005,1.92e-2
100,-12.48471895,1.65e-3
200,-12.48471588,1.60e-3
300,-12.48491651,6.31e-4
400,-12.48490643,6.16e-4
500,-12.48494864,3.88e-4
600,-12.48494686,3.76e-4
700,-12.48496305,2.83e-4
800,-12.48497431,2.27e-4
900,-12.48497802,2.03e-4
1000,-12.48498065,1.85e-4
1100,-12.48498386,1.67e-4
1200,-12.48498244,1.70e-4
1300,-12.48498664,1.49e-4
1400,-12.48498558,1.49e-4
1500,-12.48498964,1.31e-4
1600,-12.48498869,1.33e-4
1700,-12.48499186,1.19e-4
1800,-12.48498737,1.37e-4
1900,-12.48499303,1.10e-4
2000,-12.48499267,1.10e-4
2100,-12.48499398,1.03e-4
2200,-12.48499296,1.06e-4
2300,-12.48499392,1.02e-4
2400,-12.48499526,9.57e-5
2500,-12.48499559,9.33e-5
2600,-12.48499546,9.31e-5
2700,-12.48499610,8.94e-5
2800,-12.48499653,8.73e-5
2900,-12.48499659,8.65e-5
3000,-12.48499694,8.47e-5
3100,-12.48499705,8.39e-5
3200,-12.48499720,8.29e-5
3300,-12.48499731,8.22e-5
3400,-12.48499740,8.15e-5
3500,-12.48499736,8.14e-5
3600,-12.48499756,8.03e-5
3700,-12.48499763,8.00e-5
3800,-12.48499767,7.96e-5
3900,-12.48499773,7.92e-5
4000,-12.48499777,7.89e-5
