step,E,var
0,-17.96355221,3.18e+0
100,-18.87179700,1.82e+0
200,-18.97964792,6.93e-1
300,-18.99965240,4.26e-1
400,-19.00775492,2.95e-1
500,-19.01317483,2.12e-1
600,-19.01594613,1.64e-1
700,-19.01598863,1.45e-1
800,-19.01547523,1.36e-1
900,-19.01931206,1.03e-1
1000,-19.02038063,8.66e-2
1100,-19.02072467,7.75e-2
1200,-19.02184116,6.53e-2
1300,-19.02166912,6.08e-2
1400,-19.02201228,5.64e-2
1500,-19.02252985,4.94e-2
1600,-19.02239160,4.84e-2
1700,-19.02191970,4.83e-2
1800,-19.02325596,3.79e-2
1900,-19.02358218,3.43e-2
2000,-19.02359108,3.26e-2
2100,-19.02379549,3.00e-2
2200,-19.02375708,2.88e-2
2300,-19.02402529,2.62e-2
2400,-19.02402468,2.54e-2
2500,-19.02413785,2.39e-2
2600,-19.02419158,2.27e-2
2700,-19.02426570,2.16e-2
2800,-19.02430785,2.08e-2
2900,-19.02433613,2.02e-2
3000,-19.02436686,1.96e-2
3100,-19.02439560,1.90e-2
3200,-19.02442574,1.85e-2
3300,-19.02445013,1.81e-2
3400,-19.02446822,1.77e-2
3500,-19.02448721,1.73e-2
3600,-19.02450000,1.71e-2
3700,-19.02451146,1.69e-2
3800,-19.02452026,1.67e-2
3900,-19.02453312,1.65e-2
4000,-19.02453998,1.63e-2
