step,E,var
0,-15.00219673,7.64e-1
100,-15.18337304,4.22e-1
200,-15.24947027,4.24e-1
300,-15.29176872,3.35e-1
400,-15.30407991,2.24e-1
500,-15.30996032,1.64e-1
600,-15.31113196,1.25e-1
700,-15.31534918,1.00e-1
800,-15.31571126,9.24e-2
900,-15.31725310,7.34e-2
1000,-15.31776446,6.26e-2
1100,-15.31907049,5.17e-2
1200,-15.31931139,4.42e-2
1300,-15.31980550,3.89e-2
1400,-15.32021290,3.50e-2
1500,-15.32014552,3.35e-2
1600,-15.32026158,2.99e-2
1700,-15.32094406,2.52e-2
1800,-15.32093739,2.41e-2
1900,-15.32102750,2.27e-2
2000,-15.32125039,1.97e-2
2100,-15.32140385,1.83e-2
2200,-15.32154749,1.67e-2
2300,-15.32153855,1.62e-2
2400,-15.32166335,1.49e-2
2500,-15.32174350,1.38e-2
2600,-15.32176142,1.34e-2
2700,-15.32181186,1.26e-2
2800,-15.32185797,1.21e-2
2900,-15.32189485,1.15e-2
3000,-15.32190340,1.13e-2
3100,-15.32194295,1.08e-2
3200,-15.32196316,1.05e-2
3300,-15.32197407,1.03e-2
3400,-15.32199639,1.00e-2
3500,-15.32200835,9.84e-3
3600,-15.32201557,9.67e-3
3700,-15.32202816,9.54e-3
3800,-15.32203748,9.40e-3
3900,-15.32204259,9.29e-3
4000,-15.32205117,9.17e-3
