step,E,var
0,-13.92016911,3.08e-1
100,-14.01033550,6.12e-2
200,-14.01836855,2.91e-2
300,-14.01982204,1.56e-2
400,-14.02019175,1.17e-2
500,-14.02022296,9.35e-3
600,-14.02043620,7.70e-3
700,-14.02064887,6.48e-3
800,-14.02070192,5.61e-3
900,-14.02074330,5.21e-3
1000,-14.02075065,4.74e-3
1100,-14.02079713,4.29e-3
1200,-14.02084692,3.94e-3
1300,-14.02086168,3.67e-3
1400,-14.02087480,3.59e-3
1500,-14.02087411,3.38e-3
1600,-14.02092233,3.10e-3
1700,-14.02091627,3.03e-3
1800,-14.02094487,2.80e-3
1900,-14.02095223,2.66e-3
2000,-14.02096384,2.59e-3
2100,-14.02096675,2.48e-3
2200,-14.02097209,2.40e-3
2300,-14.02098561,2.31e-3
2400,-14.02098482,2.28e-3
2500,-14.02099019,2.20e-3
2600,-14.02099787,2.14e-3
2700,-14.02100168,2.10e-3
2800,-14.02100464,2.06e-3
2900,-14.02100649,2.03e-3
3000,-14.02100930,1.99e-3
3100,-14.02101177,1.96e-3
3200,-14.02101214,1.94e-3
3300,-14.02101418,1.92e-3
3400,-14.02101646,1.90e-3
3500,-14.02101753,1.88e-3
3600,-14.02101825,1.88e-3
3700,-14.02101941,1.86e-3
3800,-14.02102013,1.85e-3
3900,-14.02101994,1.85e-3
4000,-14.02102099,1.83e-3
