51	2463	2247
52	218	0
53	221	0
54	218	0
55	2816	2595
56	213	0
57	222	0
58	224	0
59	3169	2945
60	214	0
61	208	0
62	208	0
63	2218	2008
64	222	0
65	220	0
66	220	0
67	2613	2390
68	207	0
69	206	0
70	210	0
71	2070	1858
72	208	0
73	208	0
74	211	0
75	2326	2118
76	208	0
77	209	0
78	218	0
79	2815	2596
80	215	0
81	214	0
82	210	0
83	2360	2149
84	212	0
85	206	0
86	208	0
87	2773	2563
88	213	0
89	222	0
90	220	0
91	2721	2500
92	222	0
93	226	0
94	225	0
95	3174	2951
96	215	0
97	212	0
98	212	0
99	2741	2518
100	217	0
101	219	0
102	211	0
103	2640	2429
104	218	0
105	208	0
106	210	0
107	3151	2940
108	208	0
109	326	0
110	222	0
111	2459	2236
112	214	0
113	211	0
114	218	0
115	2564	2343
116	210	0
117	221	0
118	222	0
119	2932	2709
120	215	0
