t_s	step	rss_anon_gb	lazyfree_gb	minflt	free_gb
0	0	0.01	0.00	4693	232
5	0	0.21	0.00	69068	233
10	0	1.31	0.00	364041	234
15	0	1.41	0.00	392827	235
21	0	1.46	0.00	404357	237
26	0	4.19	0.00	818931	231
31	0	7.35	0.00	1648881	226
36	0	10.51	0.00	2512372	222
42	0	13.86	0.00	3415540	215
47	0	17.11	0.00	4281076	212
53	0	20.69	0.00	5184244	206
58	0	24.15	0.00	6125044	202
64	0	27.74	0.00	7065844	197
69	0	30.72	0.00	7755527	198
75	0	30.72	0.00	7755849	197
81	0	30.72	0.00	7756292	194
86	0	30.72	0.00	7756613	191
92	0	30.72	0.00	7756932	188
98	0	30.72	0.00	7757129	184
104	0	33.55	0.00	8268857	176
110	2	34.37	0.00	8881588	170
116	2	36.01	0.00	8958236	167
122	2	36.03	0.00	8959064	168
128	2	36.07	0.00	8959582	167
135	100	36.13	0.00	8960030	166
141	100	36.17	0.00	8960646	166
147	100	36.22	0.00	8961002	166
153	100	36.27	0.00	8961633	165
159	200	36.32	0.00	8997733	166
