51	213
52	219
53	213
54	215
55	1556
56	211
57	215
58	221
59	211
60	210
61	216
62	216
63	1534
64	212
65	224
66	218
67	213
68	212
69	218
70	213
71	1548
72	208
73	214
74	218
75	214
76	212
77	214
78	215
79	1561
80	213
81	253
82	218
83	222
84	212
85	218
86	209
87	1452
88	210
89	211
90	218
91	217
92	212
93	212
94	222
95	1572
96	211
97	214
98	212
99	215
100	213
101	216
102	214
103	1534
104	213
105	215
106	219
107	233
108	214
109	212
110	218
111	1485
112	210
113	210
114	212
115	219
116	215
117	212
118	220
119	1598
120	213
121	212
122	214
123	222
124	217
125	211
126	215
127	1509
128	211
129	214
130	214
131	214
132	214
133	212
134	213
135	1534
136	214
137	212
138	211
139	212
140	223
141	217
142	214
143	1590
144	214
145	212
146	209
147	210
148	221
149	215
150	213
151	1614
152	211
153	209
154	211
155	212
156	230
157	226
158	213
159	1614
160	213
161	213
162	210
163	213
164	224
165	220
166	212
167	1661
168	213
169	211
170	213
171	406
172	210
173	222
174	223
175	1363
176	211
177	211
178	215
179	210
180	219
181	229
182	213
183	1597
184	213
185	355
186	214
187	211
188	222
189	210
190	216
191	1567
192	214
193	211
194	213
195	213
196	221
197	229
198	212
199	1511
200	231
201	212
202	213
203	210
204	210
205	216
206	218
207	1592
208	211
209	214
210	215
211	213
212	212
213	218
214	217
215	1649
216	212
217	210
218	212
219	214
220	216
221	224
222	218
223	1636
224	212
225	211
226	212
227	216
228	216
229	221
230	213
231	1535
232	213
233	210
234	210
235	214
236	214
237	213
238	213
239	1658
240	212
241	211
242	213
243	210
244	218
245	235
246	228
247	1633
248	211
249	212
250	211
251	213
252	211
253	228
254	216
255	1615
256	213
257	212
258	213
259	213
260	272
261	239
262	216
263	1553
264	210
265	212
266	210
267	212
268	215
269	213
270	223
271	1687
272	210
273	213
274	212
275	210
276	214
277	218
278	218
279	1736
280	209
281	211
282	211
283	213
284	223
285	223
286	222
287	1612
288	211
289	213
290	213
291	214
292	222
293	213
294	215
295	1657
296	212
297	218
298	212
299	214
300	225
