51	218	0
52	210	0
53	671	0
54	211	0
55	1098	881
56	213	0
57	219	0
58	217	0
59	214	0
60	211	0
61	210	0
62	210	0
63	1549	1337
64	212	0
65	212	0
66	216	0
67	685	0
68	215	0
69	221	0
70	222	0
71	1053	843
72	210	0
73	210	0
74	225	0
75	213	0
76	212	0
77	214	0
78	214	0
79	1599	1389
80	215	0
81	214	0
82	481	0
83	217	0
84	214	0
85	214	0
86	215	0
87	1272	1051
88	213	0
89	211	0
90	211	0
91	215	0
92	236	0
93	215	0
94	217	0
95	1589	1377
96	469	0
97	216	0
98	217	0
99	223	0
100	210	0
101	213	0
102	214	0
103	1259	1044
104	209	0
105	214	0
106	213	0
107	219	0
108	218	0
109	225	0
110	216	0
111	1639	1205
112	211	0
113	210	0
114	211	0
115	211	0
116	213	0
117	212	0
118	214	0
119	1363	1151
120	211	0
121	211	0
122	210	0
123	213	0
124	210	0
125	213	0
126	218	0
127	1560	1348
128	212	0
129	214	0
130	211	0
131	212	0
132	212	0
133	222	0
134	229	0
135	1557	1346
136	210	0
137	210	0
138	211	0
139	209	0
140	210	0
141	216	0
142	216	0
143	1596	1384
144	217	0
145	212	0
146	211	0
147	211	0
148	214	0
149	223	0
150	230	0
151	1604	1394
152	211	0
153	214	0
154	212	0
155	214	0
156	214	0
157	215	0
158	219	0
159	1605	1392
160	211	0
161	209	0
162	212	0
163	212	0
164	211	0
165	217	0
166	218	0
167	1643	1431
168	210	0
169	214	0
170	212	0
171	212	0
172	213	0
173	565	0
174	209	0
175	1180	972
176	212	0
177	213	0
178	209	0
179	211	0
180	211	0
181	216	0
182	211	0
183	1567	1353
184	214	0
185	213	0
186	212	0
187	212	0
188	211	0
189	214	0
190	212	0
191	1640	1425
192	213	0
193	211	0
194	212	0
195	216	0
196	214	0
197	212	0
198	216	0
199	1461	1251
200	213	0
