t_s	step	pid	cpu_s	stat	rss_mb
21	0	1499359	2	Rl	293
26	0	1499359	39	Rl	2637
31	0	1499359	94	Rl	3154
36	0	1499359	147	Rl	3347
42	0	1499359	203	Sl	3716
47	0	1499359	258	Sl	3783
53	0	1499359	317	Rl	3788
58	0	1499359	374	Rl	3659
64	0	1499359	434	Rl	3896
69	0	1499795	3	Rl	410
75	0	1499795	40	Sl	5069
75	0	1500031	4	Rl	412
81	0	1499795	40	Sl	5069
81	0	1500031	41	Sl	4971
81	0	1500270	4	Rl	410
86	0	1499795	40	Sl	5069
86	0	1500031	41	Sl	4971
86	0	1500270	41	Sl	5081
86	0	1500506	3	Rl	414
92	0	1499795	40	Sl	5069
92	0	1500031	41	Sl	4971
92	0	1500270	41	Sl	5081
92	0	1500506	40	Sl	5061
92	0	1500743	4	Rl	407
98	0	1499795	40	Sl	5069
98	0	1500031	41	Sl	4971
98	0	1500270	41	Sl	5081
98	0	1500506	40	Sl	5061
98	0	1500743	40	Sl	5108
98	0	1500978	3	Rl	407
104	0	1499795	51	Sl	5107
104	0	1500031	47	Sl	4998
104	0	1500270	48	Sl	5120
104	0	1500506	47	Sl	5137
104	0	1500743	47	Sl	5186
104	0	1500978	31	Rl	4067
110	2	1499795	63	Sl	5464
110	2	1500031	63	Sl	5104
110	2	1500270	65	Sl	5190
110	2	1500506	64	Sl	5248
110	2	1500743	59	Rl	5246
110	2	1500978	60	Sl	5312
116	2	1499795	86	Sl	5244
116	2	1500031	85	Sl	5203
116	2	1500270	88	Sl	5245
116	2	1500506	83	Rl	5033
116	2	1500743	82	Rl	5618
116	2	1500978	83	Sl	5168
122	2	1499795	109	Sl	5298
122	2	1500031	108	Sl	5324
122	2	1500270	106	Rl	5028
122	2	1500506	105	Rl	5639
122	2	1500743	103	Rl	5667
122	2	1500978	106	Rl	5387
128	2	1499795	132	Sl	5351
128	2	1500031	131	Sl	5332
128	2	1500270	129	Rl	5551
128	2	1500506	128	Rl	5515
128	2	1500743	125	Sl	5460
128	2	1500978	128	Sl	5355
135	100	1499795	151	Rl	5323
135	100	1500031	148	Rl	5627
135	100	1500270	153	Rl	5749
135	100	1500506	151	Rl	5549
135	100	1500743	148	Sl	5542
135	100	1500978	151	Rl	5976
141	100	1499795	173	Rl	5833
141	100	1500031	171	Rl	5683
141	100	1500270	175	Rl	5749
141	100	1500506	175	Sl	5554
141	100	1500743	171	Sl	5623
141	100	1500978	173	Rl	5620
147	100	1499795	195	Sl	5535
147	100	1500031	194	Sl	5443
147	100	1500270	197	Sl	5550
147	100	1500506	198	Sl	5567
147	100	1500743	194	Sl	5691
147	100	1500978	194	Rl	5520
153	100	1499795	218	Sl	5575
153	100	1500031	216	Sl	5513
153	100	1500270	220	Sl	5640
153	100	1500506	216	Sl	5941
153	100	1500743	211	Sl	6043
153	100	1500978	215	Rl	5665
159	200	1499795	240	Rl	5100
159	200	1500031	239	Rl	5045
159	200	1500270	237	Rl	5503
159	200	1500506	238	Rl	5058
159	200	1500743	233	Rl	5117
159	200	1500978	238	Rl	4995
