epoch,loss,val_acc_gauss,val_acc_real
1,0.445950,91.151000,90.865000
2,0.275170,92.812000,92.558000
3,0.247610,93.515000,93.204000
4,0.228800,93.597000,93.310000
5,0.205420,93.539000,93.294000
6,0.178590,92.141000,92.035000
