epoch,loss,val_acc,pd_fold0_test_acc
1,6.373280,91.557000,27.977000
2,3.647480,91.557000,37.807000
3,2.441490,91.083000,44.234000
4,1.998160,90.919000,45.558000
5,1.828820,90.700000,44.991000
